Domain,Machine Learning Task,User Story,Paraphrased User Story,original_total_characters,llm_total_characters,diff_total_characters,original_uppercase_characters,llm_uppercase_characters,diff_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,diff_lowercase_characters,original_special_characters,llm_special_characters,diff_special_characters,original_numbers,llm_numbers,diff_numbers,original_blanks,llm_blanks,diff_blanks,original_number_of_words,llm_number_of_words,diff_number_of_words,original_average_length_of_words,llm_average_length_of_words,diff_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,diff_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,diff_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,diff_punctuation_characters,original_lowercase_words,llm_lowercase_words,diff_lowercase_words,original_uppercase_words,llm_uppercase_words,diff_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,diff_vocabulary_richness,original_number_of_urls,llm_number_of_urls,diff_number_of_urls,original_flesch_kincaid_grade_level,llm_flesch_kincaid_grade_level,diff_flesch_kincaid_grade_level,original_flesch_reading_ease,llm_flesch_reading_ease,diff_flesch_reading_ease,original_dale_chall_readability,llm_dale_chall_readability,diff_dale_chall_readability,original_automated_readability_index,llm_automated_readability_index,diff_automated_readability_index,original_coleman_liau_index,llm_coleman_liau_index,diff_coleman_liau_index,original_gunning_fog,llm_gunning_fog,diff_gunning_fog,original_smog_index,llm_smog_index,diff_smog_index,original_linsear_write_index,llm_linsear_write_index,diff_linsear_write_index
Movies,latent semantic analysis,"As a film critic, I want to use latent semantic analysis to identify related reviews on cinematography, so that I can better understand the critical landscape and identify potential areas for further analysis.",Use Latent Semantic Analysis to Identify Related Reviews on Cinematography to Better Understand Critical Landscape and Identify Potential Areas for Further Analysis,209,164,45,3,17,-14,171,126,45,3,0,3,0,0,0,32,21,11,33,22,11,5.363636363636363,6.5,-1.136363636363637,1,1,0,33.0,22.0,11.0,3,0,3,30,5,25,2,0,2,30,19,11,0,0,0,19.7,20.1,-0.4000000000000021,12.6,-10.08,22.68,11.02,12.62,-1.5999999999999996,20.3,20.2,0.1000000000000014,13.88,20.42,-6.540000000000001,21.68,21.53,0.1499999999999985,0.0,0.0,0.0,26.5,21.0,5.5
Pediatrics,adaptive resonance theory,"As a pediatrician, I want to use adaptive resonance theory to analyze pediatric vital sign data to predict and prevent adverse events in neonatal and pediatric intensive care units.","As a pediatrician, I aim to leverage Adaptive Resonance Theory (ART) to analyze vital sign data of neonates and children in Intensive Care Units (ICUs). By doing so, I hope to predict and prevent adverse events, ensuring the optimal health and well-being of these vulnerable patients.",181,284,-103,2,16,-14,149,213,-64,2,10,-8,0,0,0,28,45,-17,29,46,-17,5.275862068965517,5.195652173913044,0.080209895052473,1,2,-1,29.0,23.0,6.0,2,10,-8,27,34,-7,1,3,-2,25,40,-15,0,0,0,17.0,13.4,3.6,25.12,39.67,-14.55,13.24,11.99,1.25,17.9,14.6,3.299999999999999,13.53,11.9,1.629999999999999,19.88,16.16,3.719999999999999,0.0,0.0,0.0,21.5,16.0,5.5
Information Systems,computational linguistics,"As an information systems analyst, I want to use computational linguistics to analyze user feedback and identify common issues and concerns with our software products.","As an Information Systems Analyst, I want to leverage Computational Linguistics techniques to analyze User Feedback and identify Recurring Issues and Concerns with our Software Products.",167,186,-19,2,14,-12,139,145,-6,2,2,0,0,0,0,24,25,-1,25,26,-1,5.72,6.1923076923076925,-0.4723076923076927,1,1,0,25.0,26.0,-1.0,2,2,0,23,12,11,1,1,0,23,24,-1,0,0,0,16.6,18.2,-1.599999999999998,20.72,11.25,9.47,13.72,14.64,-0.92,18.0,20.7,-2.6999999999999997,15.73,18.51,-2.780000000000001,19.6,21.17,-1.5700000000000005,0.0,0.0,0.0,18.5,20.0,-1.5
Nephrology,adaptive resonance theory,"As a nephrologist, I want to use adaptive resonance theory to analyze large datasets of kidney function tests to identify patients at risk of developing chronic kidney disease.","As a nephrologist, I aim to leverage Adaptive Resonance Theory (ART) on vast datasets of kidney function tests to detect patients at risk of acquiring Chronic Kidney Disease (CKD).",176,180,-4,2,14,-12,145,132,13,2,6,-4,0,0,0,27,28,-1,28,29,-1,5.321428571428571,5.241379310344827,0.0800492610837437,1,1,0,28.0,29.0,-1.0,2,6,-4,26,19,7,1,3,-2,24,26,-2,0,0,0,15.4,14.6,0.8000000000000007,34.6,42.04,-7.439999999999998,13.48,14.33,-0.8499999999999996,17.6,17.8,-0.1999999999999993,13.47,12.49,0.9800000000000004,19.77,17.12,2.6499999999999986,0.0,0.0,0.0,20.0,18.5,1.5
Biology,bilstm,"As a computational biologist, I want to use bidirectional long short-term memory (bilstm) models to analyze large sets of genomic data and predict the expression levels of different genes in response to different stimuli, so that I can better understand the underlying regulatory mechanisms that control cell function. By training bilstm models on gene expression data and integrating other relevant genomic features, such as chromatin accessibility and DNA methylation, I can identify key gene regulatory networks and pathways that are involved in specific biological processes. T","As a computational biologist, I want to use bidirectional long short-term memory (BILSTM) models to analyze large sets of genomic data and predict the expression levels of different genes in response to different stimuli, so that I can better understand the underlying regulatory mechanisms that control cell function. By training BILSTM models on gene expression data and integrating other relevant genomic features, such as chromatin accessibility and DNA methylation, I can identify key gene regulatory networks and pathways that are involved in specific biological processes.",581,579,2,9,20,-11,478,466,12,9,9,0,0,0,0,85,84,1,86,85,1,5.767441860465116,5.823529411764706,-0.0560875512995897,3,2,1,28.666666666666668,42.5,-13.833333333333332,9,9,0,79,77,2,5,6,-1,65,64,1,0,0,0,24.8,24.6,0.1999999999999993,-6.02,-5.51,-0.5099999999999998,12.75,12.62,0.1300000000000007,27.2,27.2,0.0,16.44,16.78,-0.3399999999999998,25.57,25.47,0.1000000000000014,0.0,0.0,0.0,33.5,33.25,0.25
Computer Networks,latent dirichlet allocation,"As a network engineer, I want to use latent Dirichlet allocation to identify latent topics in customer support tickets related to network troubleshooting, so that I can better understand customer concerns and identify potential areas for improvement.","As a network engineer, I want to use Latent Dirichlet Allocation (LDA) to analyze customer support tickets related to network troubleshooting so that I can better understand the underlying issues and identify potential areas for improvement. By applying LDA to these tickets, I can uncover latent topics and trends that may not be immediately apparent from a simple review of the text data. This will allow me to make more informed decisions about how to improve the network and better serve our customers.",250,506,-256,4,15,-11,207,402,-195,3,7,-4,0,0,0,36,82,-46,37,83,-46,5.783783783783784,5.108433734939759,0.6753500488440256,1,3,-2,37.0,27.666666666666668,9.333333333333332,3,7,-4,33,72,-39,2,5,-3,30,65,-35,0,0,0,21.3,15.3,6.0,8.54,34.9,-26.36,11.45,10.15,1.299999999999999,24.3,16.5,7.800000000000001,16.37,12.13,4.24,21.29,17.35,3.9399999999999977,0.0,15.9,-15.9,27.5,18.83333333333333,8.666666666666668
Computer Vision,adaptive resonance theory,"As a computer vision researcher, I want to use adaptive resonance theory to develop robust and efficient object recognition systems.","As a computer vision researcher, I aim to leverage Adaptive Resonance Theory (ART) to create resilient and effective object recognition frameworks. By harnessing the power of ART, I strive to develop systems that can efficiently identify objects in diverse environments, adapting to changes in lighting, viewpoint, and other factors.",132,333,-201,2,13,-11,109,263,-154,2,9,-7,0,0,0,19,48,-29,20,49,-29,5.65,5.816326530612245,-0.1663265306122445,1,2,-1,20.0,24.5,-4.5,2,9,-7,18,40,-22,1,4,-3,19,43,-24,0,0,0,14.6,15.2,-0.5999999999999996,25.8,29.69,-3.890000000000001,14.1,13.55,0.5499999999999989,15.2,18.2,-3.0,14.91,15.67,-0.7599999999999998,20.0,17.96,2.039999999999999,0.0,0.0,0.0,16.0,17.25,-1.25
Computer Networks,radial basis function,"As a network engineer, I want to use radial basis function networks to model network performance and security based on variables such as network traffic, user behavior, and system logs, in order to improve network efficiency and security.","As a network engineer, I aim to leverage Radial Basis Function Networks (RBFNs) to model and analyze various aspects of network performance and security, including traffic patterns, user behavior, and system logs. By doing so, I hope to optimize network efficiency and enhance security measures.",238,295,-57,2,12,-10,194,230,-36,5,9,-4,0,0,0,37,44,-7,38,45,-7,5.289473684210527,5.5777777777777775,-0.2883040935672509,1,2,-1,38.0,22.5,15.5,5,9,-4,36,36,0,1,2,-1,30,37,-7,0,0,0,20.5,15.6,4.9,15.99,23.26,-7.270000000000001,12.17,13.52,-1.3499999999999996,22.5,16.1,6.399999999999999,13.24,14.22,-0.9800000000000004,20.46,17.0,3.460000000000001,0.0,0.0,0.0,26.0,16.75,9.25
Education,music information retrieval,"As an educator, I want to use music information retrieval to develop personalized music learning programs based on individual musical preferences and aptitudes, so that I can help students learn music more effectively and enjoyably.","As an educator, I aim to utilize Music Information Retrieval (MIR) techniques to create tailored music learning programs that cater to each individual student's unique musical preferences and aptitudes. By leveraging MIR, I can design more effective and enjoyable learning experiences for my students, ultimately leading to better retention of musical knowledge and skills.",232,373,-141,3,13,-10,192,299,-107,3,8,-5,0,0,0,34,53,-19,35,54,-19,5.6571428571428575,5.925925925925926,-0.2687830687830681,1,2,-1,35.0,27.0,8.0,3,8,-5,32,45,-13,2,4,-2,30,45,-15,0,0,0,20.5,17.4,3.1000000000000014,10.57,18.69,-8.120000000000001,12.14,13.16,-1.0199999999999996,22.7,20.0,2.6999999999999997,15.62,16.54,-0.92,25.43,19.69,5.739999999999998,0.0,0.0,0.0,27.5,20.0,7.5
Library,feature engineering,"As a librarian, I want to use feature engineering to identify and extract meaningful features from library data, such as circulation and user behavior, so that we can better understand and improve library services.","As a librarian, I want to apply Feature Engineering techniques on Library data, including Circulation and User Behavior metrics, to gain Insights into how to Improve Library Services.",214,183,31,2,12,-10,175,140,35,4,4,0,0,0,0,33,27,6,34,28,6,5.323529411764706,5.571428571428571,-0.2478991596638655,1,1,0,34.0,28.0,6.0,4,4,0,32,16,16,1,1,0,29,25,4,0,0,0,18.9,17.8,1.099999999999998,20.05,17.68,2.370000000000001,10.9,12.36,-1.459999999999999,20.6,18.8,1.8000000000000007,13.53,14.51,-0.9800000000000004,20.66,18.34,2.3200000000000003,0.0,0.0,0.0,24.0,19.0,5.0
Literature,bidirectional recurrent neural network,"A literary scholar wants to develop a bidirectional recurrent neural network that can predict the likelihood of a particular book becoming a bestseller based on historical data, genre, and social trends.","Develop a bidirectional recurrent neural network (BRNN) to predict the likelihood of a book becoming a bestseller based on historical data, genre, and social trends. The BRNN will take in various inputs, including historical sales data for similar books, the book's genre, and current social trends, and output a probability score indicating the book's potential success. This will help literary scholars identify promising books and make more informed decisions about which ones to invest their time and resources in.",203,518,-315,1,11,-10,169,416,-247,3,13,-10,0,0,0,30,78,-48,31,79,-48,5.580645161290323,5.569620253164557,0.0110249081257656,1,3,-2,31.0,26.33333333333333,4.666666666666668,3,13,-10,30,74,-44,1,2,-1,28,63,-35,0,0,0,17.7,14.7,3.0,23.09,36.32,-13.23,14.34,12.34,2.0,20.4,18.0,2.3999999999999986,15.1,14.39,0.7099999999999991,21.43,17.61,3.82,0.0,16.3,-16.3,23.5,18.5,5.0
Nephrology,hidden markov model,"As a nephrologist, I want to use hidden Markov models to analyze the renal function patterns and disease progression based on the time-series data of kidney function tests and patient records to improve the accuracy and efficiency of kidney disease diagnosis and treatment.","As a nephrologist, I aim to leverage Hidden Markov Models (HMMs) on time-series data from kidney function tests and patient records to enhance the accuracy and efficiency of kidney disease diagnosis and treatment. By analyzing patterns in renal function and disease progression using HMMs, I can improve my understanding of the underlying mechanisms and better predict patient outcomes, ultimately leading to more effective treatment strategies and better patient outcomes.",273,473,-200,3,13,-10,225,384,-159,3,8,-5,0,0,0,42,68,-26,43,69,-26,5.372093023255814,5.869565217391305,-0.4974721941354909,1,2,-1,43.0,34.5,8.5,3,8,-5,40,60,-20,1,2,-1,32,53,-21,0,0,0,21.2,19.1,2.099999999999998,19.37,19.54,-0.1699999999999981,13.11,12.67,0.4399999999999995,25.4,23.5,1.8999999999999984,14.35,16.66,-2.3100000000000005,22.78,20.18,2.6000000000000014,0.0,0.0,0.0,27.5,22.75,4.75
Biology,abstractive summarization,"A group of researchers is using abstractive summarization to identify key trends and insights in large sets of biological data, enabling more efficient analysis and interpretation.","A team of scientists leverages machine learning-based abstractive summarization to extract crucial themes and understanding from extensive datasets, streamlining the examination process.",180,186,-6,1,1,0,152,161,-9,2,3,-1,0,0,0,25,21,4,26,22,4,5.961538461538462,7.5,-1.5384615384615383,1,1,0,26.0,22.0,4.0,2,3,-1,25,21,4,1,1,0,24,22,2,0,0,0,17.0,17.8,-0.8000000000000007,19.71,6.84,12.87,13.43,15.49,-2.0600000000000005,19.6,24.9,-5.299999999999997,17.12,25.41,-8.29,21.17,21.53,-0.3599999999999994,0.0,0.0,0.0,20.0,19.0,1.0
Biology,action model learning,"As a molecular biologist, I want to use action model learning to predict the structure of complex biomolecules and design new drugs with higher specificity and efficacy, to develop new treatments for diseases like cancer and Alzheimer's.","As a molecular biologist, I want to utilize action model learning to predict the structure of intricate biomolecules and design novel drugs with higher specificity and efficacy, in order to develop new treatments for diseases such as cancer and Alzheimer's.",237,257,-20,3,3,0,194,211,-17,4,4,0,0,0,0,36,39,-3,37,40,-3,5.4324324324324325,5.45,-0.0175675675675677,1,1,0,37.0,40.0,-3.0,4,4,0,34,37,-3,1,1,0,32,35,-3,0,0,0,17.7,20.1,-2.400000000000002,33.92,22.42,11.5,13.58,13.91,-0.33,22.6,24.2,-1.599999999999998,14.17,14.34,-0.1699999999999999,20.21,22.0,-1.7899999999999991,0.0,0.0,0.0,23.5,26.0,-2.5
Biology,activation function,"As a bioinformatics researcher, I want to use active learning settings to optimize the selection of training data for machine learning models that predict protein-protein interactions, to better understand biological pathways and facilitate drug discovery.","As a bioinformatics researcher, I want to leverage active learning settings to efficiently select relevant training data for machine learning models predicting protein-protein interactions, enabling deeper insights into biological pathways and accelerating drug discovery efforts.",256,280,-24,2,2,0,216,240,-24,4,4,0,0,0,0,34,34,0,35,35,0,6.342857142857143,7.0285714285714285,-0.6857142857142859,1,1,0,35.0,35.0,0.0,4,4,0,33,33,0,1,1,0,32,33,-1,0,0,0,21.7,24.0,-2.3000000000000007,2.11,-14.82,16.93,13.49,15.75,-2.26,25.9,29.2,-3.3000000000000007,19.45,23.39,-3.940000000000001,22.0,23.14,-1.1400000000000006,0.0,0.0,0.0,26.5,26.5,0.0
Biology,active learning setting,"As a genomics researcher, I want to use the AdaBoost algorithm to identify genetic variants that are associated with complex diseases like diabetes and heart disease, to improve our understanding of the genetic basis of these diseases and develop personalized treatments.","As a genomics researcher, I want to utilize the AdaBoost algorithm to identify genetic variants associated with complex diseases like diabetes and heart disease, in order to enhance our understanding of the genetic basis of these conditions and create personalized treatments.",271,276,-5,4,4,0,224,229,-5,3,3,0,0,0,0,40,40,0,41,41,0,5.634146341463414,5.7560975609756095,-0.1219512195121952,1,1,0,41.0,41.0,0.0,3,3,0,38,38,0,1,1,0,34,35,-1,0,0,0,21.6,22.8,-1.1999999999999993,12.94,4.48,8.459999999999999,12.22,13.37,-1.1499999999999986,25.6,26.2,-0.5999999999999979,15.86,16.55,-0.6900000000000013,24.2,24.2,0.0,0.0,0.0,0.0,29.5,29.5,0.0
Biology,adaboost,"A researcher in bioinformatics is using an Adaline model to classify different genetic sequences based on their underlying structures. By training the machine learning algorithm on large sets of genomic data, the researcher hopes to identify new patterns and relationships between different genetic markers and their associated traits.","A bioinformatics researcher is utilizing an Adaline model to classify various genetic sequences based on their underlying structures. By leveraging large datasets of genomic information, the researcher aims to uncover novel patterns and relationships between different genetic markers and associated traits.",335,307,28,3,3,0,282,261,21,3,3,0,0,0,0,47,40,7,48,41,7,6.0,6.512195121951219,-0.5121951219512191,2,2,0,24.0,20.5,3.5,3,3,0,45,38,7,1,1,0,40,37,3,0,0,0,16.2,17.2,-1.0,21.74,8.37,13.37,12.72,13.9,-1.1799999999999995,18.8,19.5,-0.6999999999999993,17.47,20.07,-2.6000000000000014,17.1,19.91,-2.8099999999999987,0.0,0.0,0.0,18.0,17.25,0.75
Biology,multi-layer perceptron,"As a computational biologist, I want to use a multilayer perceptron to predict the function of different genes based on their DNA sequences, so that I can identify potential targets for drug development and other therapeutic interventions.","As a computational biologist, I want to use a multilayer perceptron to predict the function of different genes based on their DNA sequences, so that I can identify potential targets for drug development and other therapeutic interventions. This will allow me to leverage machine learning algorithms to gain insights into the functionality of genes and make more informed decisions about which genes are most likely to be involved in specific biological processes or diseases, ultimately leading to more effective drug development and treatment strategies.",239,555,-316,6,7,-1,194,460,-266,3,5,-2,0,0,0,36,83,-47,37,84,-47,5.486486486486487,5.619047619047619,-0.1325611325611317,1,2,-1,37.0,42.0,-5.0,3,5,-2,33,79,-46,3,3,0,34,68,-34,0,0,0,21.3,22.0,-0.6999999999999993,8.54,11.93,-3.390000000000001,12.73,12.11,0.620000000000001,22.9,26.0,-3.1000000000000014,14.69,15.86,-1.17,24.53,24.9,-0.3699999999999974,0.0,0.0,0.0,28.5,30.5,-2.0
Biology,computational semantics,"As a computational biologist, I want to develop computational semantic models to represent the meaning of biological concepts and entities, and use them to improve automated text mining and information retrieval from biomedical databases.","As a computational biologist, I aim to create sophisticated semantic models that capture the meaning of biological concepts and entities, enabling more effective automated text mining and information retrieval from biomedical databases.",238,236,2,2,2,0,200,200,0,3,3,0,0,0,0,33,31,2,34,32,2,6.029411764705882,6.40625,-0.3768382352941177,1,1,0,34.0,32.0,2.0,3,3,0,32,30,2,1,1,0,29,31,-2,0,0,0,22.5,22.9,-0.3999999999999986,-5.34,-11.77,6.43,13.22,15.09,-1.8699999999999992,24.0,24.8,-0.8000000000000007,17.76,19.91,-2.1499999999999986,25.36,25.3,0.0599999999999987,0.0,0.0,0.0,28.0,26.0,2.0
Biology,decision boundary,"As a bioinformatics researcher, I want to use decision boundary algorithms to classify different types of cells based on their gene expression profiles, so that I can better understand the underlying biological mechanisms and identify potential targets for drug development.","As a bioinformatics researcher, I want to use decision boundary algorithms to classify different types of cells based on their gene expression profiles so that I can better understand the underlying biological mechanisms and identify potential targets for drug development.",274,273,1,3,3,0,229,229,0,3,2,1,0,0,0,39,39,0,40,40,0,5.875,5.85,0.0250000000000003,1,1,0,40.0,40.0,0.0,3,2,1,37,37,0,2,2,0,38,38,0,0,0,0,22.4,22.4,0.0,5.5,5.5,0.0,13.52,13.52,0.0,26.3,26.1,0.1999999999999993,16.95,16.95,0.0,27.0,27.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0
Cardiology,svm classifier,"As a cardiologist, I want to use SVM classifier to classify electrocardiogram (ECG) signals into different categories such as normal, arrhythmia, and ischemia, based on various ECG features such as QRS complex, ST segment, and T wave, so that I can diagnose heart conditions and provide personalized treatment to patients.","As a cardiologist, I want to use SVM classifier to categorize ECG signals into different groups based on various ECG attributes such as QRS complex, ST segment, and T wave, so that I can diagnose heart conditions and give personalized treatment to patients.",322,257,65,18,18,0,245,192,53,10,5,5,0,0,0,49,42,7,50,43,7,5.46,5.0,0.4599999999999999,1,1,0,50.0,43.0,7.0,10,5,5,41,34,7,8,8,0,42,37,5,0,0,0,25.2,21.2,4.0,3.81,19.37,-15.56,14.01,13.11,0.9000000000000004,29.3,23.6,5.699999999999999,14.12,11.91,2.209999999999999,28.0,23.71,4.289999999999999,0.0,0.0,0.0,36.0,29.5,6.5
Economics,preference learning,"As an economist, I want to use preference learning to predict which factors (e.g., price, quality) are most important in determining consumers' preferences for different products.","As an economist, I want to leverage preference learning algorithms to analyze consumer data and predict the key factors (such as pricing or product quality) that influence their purchasing decisions for various items.",179,217,-38,2,2,0,143,179,-36,9,4,5,0,0,0,25,32,-7,26,33,-7,5.923076923076923,5.606060606060606,0.3170163170163169,3,1,2,9.333333333333334,33.0,-23.666666666666664,9,4,5,24,31,-7,1,1,0,25,31,-6,0,0,0,10.7,18.5,-7.800000000000001,41.36,21.06,20.3,11.57,13.89,-2.3200000000000003,13.0,21.5,-8.5,14.2,15.1,-0.9000000000000004,12.89,24.11,-11.22,0.0,0.0,0.0,9.0,25.5,-16.5
Social Media,pretrained language model,"As a social media analyst, I want to use a pretrained language model to classify social media posts and comments into relevant categories (e.g., sentiment, topic) for further analysis.","As a social media analyst, I want to utilize a pre-trained language model to classify social media posts and comments into various categories such as sentiment or topics for further examination.",184,194,-10,2,2,0,146,159,-13,8,3,5,0,0,0,28,30,-2,29,31,-2,5.379310344827586,5.290322580645161,0.0889877641824252,3,1,2,10.333333333333334,31.0,-20.666666666666664,8,3,5,27,29,-2,1,1,0,25,26,-1,0,0,0,11.3,17.7,-6.399999999999999,39.84,23.09,16.750000000000004,12.52,12.81,-0.2900000000000009,11.2,19.0,-7.800000000000001,11.71,13.41,-1.6999999999999993,14.08,20.14,-6.0600000000000005,0.0,0.0,0.0,10.25,21.5,-11.25
Social Work,preference learning,"As a social worker, I want to use preference learning to understand which interventions are most effective for different groups of clients (e.g., children, seniors) with specific needs.","As a social worker, I want to leverage preference learning algorithms to identify the most effective interventions for diverse client groups, such as children and seniors, based on their unique needs and characteristics.",185,220,-35,2,2,0,148,182,-34,8,4,4,0,0,0,27,32,-5,28,33,-5,5.642857142857143,5.696969696969697,-0.054112554112554,3,1,2,10.0,33.0,-23.0,8,4,4,26,31,-5,1,1,0,27,30,-3,0,0,0,8.8,17.3,-8.5,57.27,29.52,27.750000000000004,11.1,12.93,-1.83,12.1,21.9,-9.8,13.22,15.68,-2.459999999999999,11.31,20.47,-9.159999999999998,0.0,0.0,0.0,9.0,22.5,-13.5
Urban Studies,preference learning,"As an urban planner, I want to use preference learning to identify which urban design elements (e.g., green space, public art) are most preferred by residents in a specific neighborhood.","As an urban planner, I want to leverage preference learning algorithms to analyze the opinions of residents in a particular neighborhood regarding various urban design elements (such as green areas and public art) in order to determine which ones are most highly valued.",186,270,-84,2,2,0,147,222,-75,8,4,4,0,0,0,29,42,-13,30,43,-13,5.233333333333333,5.3023255813953485,-0.0689922480620151,3,1,2,10.666666666666666,43.0,-32.333333333333336,8,4,4,28,41,-13,1,1,0,28,38,-10,0,0,0,9.1,22.4,-13.3,56.25,10.91,45.34,10.7,12.75,-2.0500000000000007,10.7,25.0,-14.3,10.95,13.83,-2.880000000000001,12.67,25.57,-12.9,0.0,0.0,0.0,10.5,31.5,-21.0
Biology,elastic matching,"As a medical imaging specialist, I want to use elastic matching to register magnetic resonance imaging (MRI) scans of the brain and spinal cord, to improve the accuracy of diagnosis and treatment of neurological disorders such as multiple sclerosis.","As a medical imaging specialist, I need to use elastic matching to align MRI scans of the brain and spinal cord for accurate diagnosis and treatment of neurological disorders like multiple sclerosis.",249,199,50,5,5,0,201,161,40,5,2,3,0,0,0,38,31,7,39,32,7,5.410256410256411,5.25,0.1602564102564105,1,1,0,39.0,32.0,7.0,5,2,3,36,29,7,2,2,0,31,29,2,0,0,0,20.9,17.0,3.899999999999999,14.97,30.54,-15.57,12.86,13.12,-0.2599999999999998,23.6,19.3,4.300000000000001,13.94,13.41,0.5299999999999994,26.88,22.8,4.079999999999998,0.0,0.0,0.0,30.5,24.0,6.5
Biology,news analytics,"A pharmaceutical company is using news analytics to monitor developments in the field of oncology. The machine learning algorithms are trained to analyze news articles and social media posts related to cancer research, allowing the company to stay up-to-date on the latest developments in the field.","A pharmaceutical company leverages natural language processing to monitor and analyze news articles and social media updates about cancer research, enabling them to stay informed about the most recent advancements in the field.",299,227,72,2,1,1,247,192,55,5,2,3,0,0,0,45,32,13,46,33,13,5.521739130434782,5.909090909090909,-0.3873517786561269,2,1,1,23.0,33.0,-10.0,5,2,3,44,32,12,1,1,0,35,29,6,0,0,0,15.8,18.5,-2.6999999999999997,22.75,21.06,1.6900000000000013,11.3,12.93,-1.629999999999999,16.1,22.9,-6.799999999999997,14.39,17.24,-2.849999999999998,17.9,21.68,-3.780000000000001,0.0,0.0,0.0,18.5,24.5,-6.0
Education,tensorflow,"As an educator, I want to use TensorFlow to build machine learning models that can accurately predict student performance and learning outcomes, based on data from student records, standardized tests, and other sources, so that I can develop more effective teaching strategies and improve student outcomes.","As an educator, I want to utilize TensorFlow to build accurate machine learning models that predict student performance and learning outcomes based on data from various sources, so that I can create more effective teaching methods and enhance student success.",306,259,47,5,5,0,250,212,38,6,3,3,0,0,0,45,39,6,46,40,6,5.673913043478261,5.5,0.1739130434782607,1,1,0,46.0,40.0,6.0,6,3,3,42,36,6,2,2,0,37,34,3,0,0,0,22.4,20.1,2.299999999999997,16.33,22.42,-6.090000000000003,12.44,13.52,-1.08,28.3,24.5,3.8000000000000007,15.74,14.81,0.9299999999999996,24.49,22.0,2.4899999999999984,0.0,0.0,0.0,30.0,26.0,4.0
Linguistics,tensorflow,"As a linguist, I want to use TensorFlow to build machine learning models that can accurately predict language behavior, including speech recognition and natural language processing, based on data from speech recordings, text documents, and other sources, so that I can develop more effective language models and understand the factors that influence language behavior.","As a linguist, I want to leverage TensorFlow's machine learning capabilities to build accurate language models that can predict speech recognition and natural language processing behaviors based on data from various sources, so that I can create more effective language models and gain insights into the factors influencing language behavior.",368,342,26,5,5,0,303,284,19,7,4,3,0,0,0,53,49,4,54,50,4,5.833333333333333,5.86,-0.0266666666666672,1,1,0,54.0,50.0,4.0,7,4,3,50,46,4,2,2,0,42,41,1,0,0,0,26.7,25.2,1.5,-0.26,3.81,-4.07,12.46,13.06,-0.5999999999999996,33.0,31.2,1.8000000000000007,16.67,17.13,-0.4599999999999973,29.75,28.8,0.9499999999999992,0.0,0.0,0.0,40.0,36.0,4.0
Music,news analytics,"As a musician, I want to use news analytics to monitor and analyze music news and trends, so that we can stay up-to-date on industry developments and make informed decisions about music production and distribution.","As a musician, I want to utilize news analytics to monitor and analyze music news and trends so that we can stay current on industry developments and make knowledgeable decisions regarding music production and distribution.",214,223,-9,2,2,0,173,185,-12,5,2,3,0,0,0,34,34,0,35,35,0,5.142857142857143,5.4,-0.2571428571428571,1,1,0,35.0,35.0,0.0,5,2,3,33,33,0,1,1,0,29,29,0,0,0,0,18.1,19.3,-1.1999999999999993,27.49,19.03,8.459999999999997,10.34,11.69,-1.3499999999999996,20.3,21.5,-1.1999999999999993,12.31,14.28,-1.9699999999999989,24.29,26.57,-2.280000000000001,0.0,0.0,0.0,27.5,28.5,-1.0
Music,preference learning,"As a music producer, I want to use preference learning to predict which music genres are most preferred by audiences in different demographics (e.g., age, gender).","As a music producer, I aim to leverage preference learning to forecast the most preferred music genres among various demographics, such as age or gender, to better cater to my audience's tastes.",163,194,-31,2,2,0,128,156,-28,8,5,3,0,0,0,25,31,-6,26,32,-6,5.307692307692308,5.09375,0.2139423076923075,3,1,2,9.333333333333334,32.0,-22.666666666666664,8,5,3,24,30,-6,1,1,0,24,27,-3,0,0,0,14.6,15.8,-1.200000000000001,36.63,39.0,-2.369999999999997,11.61,11.64,-0.0300000000000011,16.6,18.5,-1.8999999999999984,12.02,11.96,0.0599999999999987,16.55,19.05,-2.5,0.0,0.0,0.0,18.0,21.0,-3.0
Demography,word-sense disambiguation,"As a demographer, I want to use word-sense disambiguation to identify the correct meaning of terms related to population.","As a demographer, I want to use word-sense disambiguation to clarify the intended meaning of population-related terms, such as 'population' (referring to the total number of individuals in a particular area), 'demographic' (relating to the study of populations), or 'populace' (denoting a group of people sharing similar characteristics).",121,338,-217,2,2,0,98,270,-172,3,19,-16,0,0,0,18,47,-29,19,48,-29,5.421052631578948,6.0625,-0.6414473684210522,1,1,0,19.0,48.0,-29.0,3,19,-16,17,46,-29,1,1,0,17,37,-20,0,0,0,13.1,27.9,-14.8,35.27,-19.55,54.82000000000001,10.4,13.25,-2.85,13.6,31.1,-17.5,13.23,16.49,-3.259999999999998,18.13,33.37,-15.239999999999998,0.0,0.0,0.0,14.5,40.0,-25.5
