Domain,Machine Learning Task,User Story,par phi3,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","As an expert in film analysis, my goal is to utilize dependency parsing techniques for dissecting screenplays with the objective of uncovering underlying story structures and recurring themes.",192,1,162,2,0,27,28,5.892857142857143,1,28.0,2,27,0,28,0,17.8,17.68,12.92,20.3,16.77,21.2,0.0,21.0
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","As an expert in literature studies, my objective is to employ representation learning techniques for the examination of literary datasets. By doing this, I aim to discover significant indicators that correlate with a book's potential popularity or critical acclaim. This insight will enable us to create more effective tools for literary analysis and make informed decisions regarding publishing tactics.",404,4,336,6,0,58,59,5.864406779661017,3,19.666666666666668,6,55,1,55,0,15.7,17.64,12.91,16.0,16.13,18.73,17.1,15.833333333333334
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","As an individual engaged in computer vision studies, my aim is to extract information from visual datasets for the purpose of evaluating the subjects within images and their surrounding environments, thereby contributing valuable insights towards advancing research and practical applications in the field of computer vision.",325,1,276,3,0,45,46,6.086956521739131,1,46.0,3,45,0,40,0,24.8,-0.6,13.81,30.3,18.52,27.1,0.0,34.0
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","As a researcher in political science, my objective is to employ a classifier chain for forecasting various political results while considering the interplay among several variables like public sentiment and news influence. This will enable me to gain deeper insights into the workings of politics.",297,2,248,3,0,44,45,5.622222222222222,2,22.5,3,43,0,41,0,15.6,23.26,11.42,16.3,15.26,17.89,0.0,17.25
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","As a social worker, my objective is to employ arboreal computational methods in examining client records to uncover variables impacting psychological well-being results.",169,1,143,3,0,22,23,6.391304347826087,1,23.0,3,22,0,22,0,19.3,-2.64,14.39,20.2,19.32,21.37,0.0,19.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As a demographer, my objective is to determine the delineating line of a model that segments populations in order to examine patterns and shifts within different demographic groups.",181,1,151,2,0,27,28,5.5,1,28.0,2,27,0,26,0,17.8,17.68,12.36,18.5,14.51,21.2,0.0,22.0
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As an investigator studying online communities, my aim is to employ part-of-speech analysis on user interactions within the platform to detect recurring trends in how people communicate with each other.",202,1,168,4,0,29,30,5.766666666666667,1,30.0,4,29,0,29,0,18.5,15.65,11.97,20.7,15.97,20.0,0.0,21.0
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As a specialist in computer vision studies, my objective is to implement Support Vector Regression (SVR) for estimating the effectiveness of object identification and classification methods by analyzing diverse image attributes like hue, surface details, and geometric characteristics. This enables me to enhance algorithm development strategies and increase precision rates.",375,8,311,7,0,49,50,6.52,2,25.0,7,44,1,47,0,18.9,3.8,14.98,21.8,20.02,22.0,0.0,20.0
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","From my perspective as a psychologist, utilizing graph mining techniques allows me to examine social networks and uncover elements influencing mental wellbeing. This will enable the creation of improved therapeutic strategies and individualized care approaches.",261,2,222,3,0,34,35,6.485714285714286,2,17.5,3,33,0,34,0,16.0,11.41,14.43,17.9,19.54,19.57,0.0,14.25
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","As a professional working in the field of transport engineering, my objective is to retrieve multiple-term phrases derived from social media content that pertains to road congestion and utilize this information for assessing traffic flow trends.",245,1,206,3,0,35,36,5.833333333333333,1,36.0,3,35,0,35,0,19.7,18.02,13.76,24.0,16.66,22.18,0.0,25.0
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","From my perspective as a literary reviewer, my goal is to utilize value iteration for effectively distributing literary assets in order to enhance availability of literary works and foster literacy and cross-cultural comprehension.",231,1,195,3,0,32,33,6.03030303030303,1,33.0,3,32,0,28,0,22.1,-4.33,12.45,23.5,17.76,25.32,0.0,28.5
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As an information systems analyst, my goal is to leverage the technique of extracting sentences from user inputs autonomously. This method will help me efficiently pinpoint recurring problems and opportunities for enhancing our software's functionality while also improving overall user satisfaction.",300,2,254,4,0,40,41,6.341463414634147,2,20.5,4,39,0,40,0,16.0,16.83,13.13,18.7,18.91,18.93,0.0,15.75
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","As a psychologist, my goal is to implement an AI-based system utilizing linguistic selection in order to enhance the precision and clarity of my scholarly articles and clinical documentation. This improvement would enable me to effectively convey my discoveries to fellow mental health experts as well as patients.",314,4,259,4,0,47,48,5.5625,2,24.0,4,45,0,40,0,16.2,21.74,12.39,16.8,14.8,21.27,0.0,19.0
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a heart specialist, my objective is to utilize the word error ratio in assessing the precision of technology-assisted conversion of health records and patient histories. This will enable me to offer improved treatment options for my patients.",245,2,202,4,0,37,38,5.473684210526316,2,19.0,4,36,0,34,0,11.9,43.73,12.06,13.8,13.87,16.02,0.0,13.0
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","As a medical practitioner, my goal is to employ unsupervised outlier detection techniques on digital patient data sets with the intent of identifying irregular patterns which may indicate mistakes in healthcare delivery or possible deceitful activities.",253,1,215,2,0,35,36,6.055555555555555,1,36.0,2,35,0,36,0,23.2,-7.37,14.63,25.1,18.11,27.73,0.0,31.0
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As a demographer, my aim is to employ linear regression techniques for forecasting trends in population expansion and the movement of people across various geographical areas.",175,1,147,2,0,25,26,5.769230769230769,1,26.0,2,25,0,26,0,17.0,19.71,12.82,18.7,16.02,21.17,0.0,20.0
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","An organization in the pharmaceutical industry employs natural language processing techniques to scrutinize scholarly articles, pinpointing prospective therapeutic agents for addressing a specific illness. Machine learning models are developed and trained to detect significant terminology and ideas pertinent to the illness, thereby enabling rapid identification of promising areas requiring additional investigation.",418,2,362,4,0,50,51,7.215686274509804,2,25.5,4,49,0,47,0,21.5,-13.64,15.74,25.3,24.43,25.89,0.0,22.75
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","As a network engineer, my objective is to utilize an AI-powered legal information retrieval platform with machine learning capabilities for searching and examining statutes and directives pertaining to data protection and cybersecurity. This will enable me to guarantee adherence to regulations while safeguarding the privacy of user data.",339,4,284,4,0,47,48,6.083333333333333,2,24.0,4,45,0,43,0,17.4,13.28,13.05,19.2,17.82,20.43,0.0,19.0
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","As a journalist, utilizing question-answering capabilities will enable me to swiftly gather data regarding current happenings and developments, thus enhancing the quality of my journalistic content creation and dissemination.",225,1,192,4,0,28,29,6.793103448275862,1,29.0,4,28,0,28,0,22.9,-17.19,14.88,25.1,21.94,26.77,0.0,25.5
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As a demographer, my goal is to utilize rule induction techniques in order to uncover the underlying determinants impacting movement trends within populations, enabling me to enhance my grasp of demographic changes.",215,1,180,3,0,31,32,5.75,1,32.0,3,31,0,29,0,19.3,13.62,13.61,21.7,16.14,22.8,0.0,24.0
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","As an endocrinologist, my objective is to employ a previously trained natural language processing (NLP) model for the examination of medical literature and patient data, with the goal of detecting trends related to hormone concentrations and reactions to treatments. The insights gleaned from this analysis will aid in the creation of more precise and efficient hormonal therapy protocols.",389,5,321,6,0,57,58,5.724137931034483,2,29.0,6,55,1,49,0,18.1,16.66,13.24,20.0,15.91,23.32,0.0,23.0
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a professional working with information systems, my objective is to implement fastText technology for the purpose of swiftly sorting and organizing data within databases and related platforms. This will enable end-users to locate relevant information efficiently and precisely.",280,3,235,4,0,38,39,6.205128205128205,2,19.5,4,36,0,35,0,16.8,9.38,13.92,17.6,18.1,18.06,0.0,15.25
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","As a music producer, my goal is to implement an encoder-decoder framework that creates tailored music suggestions for users by analyzing their past listening patterns and preferences. This approach will enhance the level of interaction between listeners and our platform while increasing contentment rates.",306,2,257,4,0,43,44,5.9772727272727275,2,22.0,4,42,0,42,0,14.2,32.22,11.9,17.7,16.88,17.89,0.0,16.5
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","As a sociologist, my goal is to leverage phrase embeddings for examining how different social occurrences are portrayed on various social platforms. This approach will enable me to gain insights into the general views held by the public regarding significant societal matters. Ultimately, this understanding can contribute towards refining our theoretical frameworks and analyses within sociology.",397,3,334,5,0,55,56,6.107142857142857,3,18.666666666666668,5,53,0,52,0,15.3,18.65,12.18,16.7,17.64,17.48,16.3,14.666666666666666
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a social worker, it is essential for me to employ stemming techniques on social work documentation in order to uncover associated cases, which will enhance my comprehension and ability to cater to the requirements of those under my care effectively.",252,1,208,3,0,40,41,5.170731707317073,1,41.0,3,40,0,36,0,21.6,12.94,11.45,23.4,13.19,24.2,0.0,28.5
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","As a social media advertiser, my goal is to utilize natural language processing technology to create algorithms capable of assessing users' tastes and inclinations from social media content. This enables me to design superior social media promotion tactics.",257,2,214,4,0,37,38,5.7894736842105265,2,19.0,4,36,0,32,0,15.4,18.35,12.89,15.3,15.66,18.13,0.0,14.5
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","As a marketing professional, my objective is to leverage linear regression techniques for forecasting customer actions and refining promotional initiatives.",156,1,134,2,0,19,20,6.85,1,20.0,2,19,0,20,0,18.2,0.42,14.1,20.8,21.87,24.0,0.0,18.0
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","As a specialist in hormone-related diseases, my objective is to apply the technique of random feature selection in order to pinpoint the key variables that influence the likelihood of developing diabetes.",204,1,170,3,0,30,31,5.612903225806452,1,31.0,3,30,0,26,0,17.7,23.09,13.32,20.5,15.33,22.72,0.0,23.5
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","As a music creator, my goal is to implement regularization methods in order to enhance the precision of my audio suggestion algorithms, thereby facilitating more accurate pairings between artists' works and potential audiences.",227,1,190,4,0,32,33,5.909090909090909,1,33.0,4,32,0,31,0,19.7,12.6,13.41,22.9,16.89,24.11,0.0,25.5
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As a demographic analyst, my objective is to utilize insights derived from subtle indicators to enhance comprehension of migratory behavior within populations and pinpoint the determinants that prompt individuals to relocate to new locales. This approach will facilitate more precise forecasting of future population dynamics and optimize distribution planning for resources.",375,2,320,3,0,50,51,6.372549019607843,2,25.5,3,49,0,46,0,19.1,3.29,14.5,21.3,19.61,23.53,0.0,21.25
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As a city designer, my objective is to utilize spiking neural networks for examining demographic expansion, relocation trends, and residential distribution data. This enables me to base my choices on optimal urban planning strategies regarding land allocation, building regulations, and the creation of public facilities and transportation systems.",348,2,292,7,0,47,48,6.270833333333333,2,24.0,7,46,0,44,0,17.4,13.28,13.71,20.1,18.57,21.27,0.0,19.0
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a marketer, my goal is to leverage query expansion for uncovering emerging market patterns and potential prospects by broadening the search scope with associated terms and industry statistics, with the objective of enhancing our promotional tactics and overall effectiveness.",278,1,235,3,0,39,40,5.975,1,40.0,3,39,0,36,0,22.4,5.5,13.91,26.7,17.53,27.0,0.0,31.0
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a network engineer, my objective is to implement an SVM (Support Vector Machine) algorithm for Feature Selection (FSS) in order to identify the key attributes within extensive sets of network traffic information. This will enable me to enhance the efficiency of network operations as well as bolster security measures.",321,13,252,7,0,49,50,5.44,2,25.0,7,41,2,42,0,15.4,29.18,12.46,16.7,13.76,18.0,0.0,18.0
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","As a legal analyst, my objective is to employ induction-based machine learning techniques for discerning recurring trends within various court rulings. This approach will facilitate the creation of novel perspectives on judicial reasoning and contribute to shaping future regulatory frameworks in law.",301,2,254,4,0,41,42,6.190476190476191,2,21.0,4,40,0,41,0,16.2,16.32,14.45,18.2,18.1,19.83,0.0,16.5
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","As a radiologist, my goal is to utilize machine learning techniques like the Random Forest algorithm for forecasting disease advancement and anticipating treatment efficacy through analyzing various factors including patients' demographics, their past health records, and imagery findings. This approach aims to enhance patient treatment strategies and guide medical decision-making processes.",393,4,332,7,0,50,51,6.7254901960784315,2,25.5,7,47,0,47,0,18.0,11.75,13.88,23.0,21.24,20.4,0.0,19.25
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.","As a music artist, I aim to utilize a feedforward neural network for forecasting popularity of songs as well as listener tastes using musical data. This will enable me to enhance decision-making in the creation process and refine my musical pieces accordingly.",260,3,212,4,0,41,42,5.214285714285714,2,21.0,4,39,1,37,0,12.7,41.7,12.2,13.6,12.42,15.07,0.0,14.5
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","As a researcher in political science, my objective is to employ inverse reinforcement learning techniques in order to uncover the underlying influences on political choices and electoral patterns. This will enable me to gain insights into political movements and forecast future developments more accurately.",308,2,260,3,0,43,44,6.0227272727272725,2,22.0,3,42,0,38,0,16.6,15.31,12.62,17.9,17.23,16.07,0.0,16.0
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.","From my perspective as a sociologist, it is essential for me to implement an approach like early stopping to mitigate the risk of overfitting while developing machine learning models aimed at forecasting trends related to social disparity and upward or downward mobility based on survey information.",299,1,251,2,0,45,46,5.521739130434782,1,46.0,2,45,0,44,0,24.8,-0.6,13.47,27.6,15.39,28.83,0.0,35.0
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.","From my perspective as a marketer, I seek to employ machine learning techniques for examining customer information in order to create highly-focused promotional initiatives that enhance their effectiveness in increasing revenue.",228,2,193,3,0,30,31,6.387096774193548,1,31.0,3,29,1,29,0,20.1,6.17,13.32,24.2,19.79,21.43,0.0,23.5
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","As a news evaluator, my objective is to utilize the GloVe algorithm for examining linguistic trends and emotional tones within journalism outlets in order to detect possible prejudices, disinformation, or other media manipulation tactics. This will assist in advancing responsible and ethical journalism practices by facilitating better-informed analysis of news content.",371,4,311,6,0,50,51,6.294117647058823,2,25.5,6,48,0,46,0,19.1,3.29,13.26,20.9,18.86,21.96,0.0,21.75
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","As a music creator, my objective is to employ Recurrent Neural Network (RNN) technology for examining historical listener information progressively, enabling us to detect recurring tendencies and musical preference habits, ultimately allowing the creation of improved platforms for suggesting music choices.",307,7,254,6,0,40,41,6.512195121951219,1,41.0,6,36,1,38,0,26.4,-20.91,16.07,29.7,20.55,31.03,0.0,35.5
