Domain,Machine Learning Task,User Story,par llava,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","As a scientist specializing in computer vision, I desire to explore visual information within images and their associated metadata in order to advance my field of study and contribute to its practical applications. ",215,2,178,2,0,33,33,5.515151515151516,1,33.0,2,31,1,29,0,19.7,12.6,12.45,21.1,14.92,24.11,0.0,25.5
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","As a researcher in politics, I would like to apply a series of prediction algorithms to forecast various political results. These algorithms should consider the interplay between different elements, including public perception and news coverage, to provide a more accurate representation of political trends. ",309,3,257,5,0,44,44,6.0227272727272725,2,22.0,5,41,1,37,0,16.6,15.31,11.9,17.9,17.0,20.62,0.0,19.0
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","From a social work perspective, as a professional in this field, I would like to utilize tree algorithms to assess and examine the information regarding my patients' mental well-being. By doing so, I aim to uncover essential factors that contribute to the overall mental health outcomes for these individuals. ",310,4,250,7,0,49,49,5.326530612244898,2,24.5,7,45,2,42,0,14.0,38.15,10.97,15.9,13.06,17.96,0.0,17.75
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As a demographer, it is necessary for me to determine the dividing line for a particular model used to study demographic patterns within a specific group. ",155,1,126,2,0,26,26,4.961538461538462,1,26.0,2,25,0,22,0,15.8,28.17,11.0,14.9,11.32,21.17,0.0,20.0
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As a researcher who specializes in social networks, it is my desire to utilize part-of-speech tagging in order to examine the messaging habits of individuals on various platforms. This will allow me to discern recurring trends and characteristics within their communication. ",275,2,227,5,0,41,41,5.7073170731707314,2,20.5,5,39,0,38,0,13.6,33.75,11.59,15.7,15.14,16.0,0.0,14.25
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As an AI language model, I want to employ SVR for forecasting the efficiency of object detection and recognition systems by considering a wide range of visual aspects like color, texture, and form in order to enhance algorithm design and precision. ",249,7,197,4,0,41,41,5.073170731707317,1,41.0,4,37,3,37,0,20.5,21.4,12.99,22.9,12.49,23.23,0.0,27.5
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As a psychologist specializing in analyzing social networks, I want to utilize graph mining techniques to uncover the underlying connections between individuals' interactions and their mental health, with the goal of creating targeted interventions and personalized treatment plans based on these insights. ",307,2,259,4,0,42,42,6.309523809523809,1,42.0,4,40,1,39,0,24.4,-5.0,14.37,29.3,19.63,28.23,0.0,33.0
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","As a transportation specialist, my objective is to retrieve complex phrases from online social media platforms concerning traffic in order to evaluate traffic habits. ",167,1,140,2,0,24,24,5.958333333333333,1,24.0,2,23,0,22,0,15.0,30.2,14.04,18.6,17.12,17.93,0.0,17.0
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","As an analyst of literature, I desire to apply value iteration in order to efficiently distribute resources related to literature and enhance accessibility to such texts, thereby encouraging literacy and fostering cultural comprehension. ",238,2,200,3,0,33,33,6.212121212121212,1,33.0,3,31,1,29,0,24.4,-21.25,13.41,24.3,18.81,27.75,0.0,29.5
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As a data processing expert, I desire to employ sentence extraction technology to automatically locate essential details within user reviews, expediting the detection of prevalent problems and opportunities for enhancement in software products. This will ultimately lead to an improved user experience. ",303,3,254,4,0,42,42,6.214285714285714,2,21.0,4,39,1,39,0,17.4,7.86,13.7,18.3,18.22,18.88,0.0,16.0
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","As a psychologist, I aim to enhance the clarity and precision of my research documents and psychological reports by utilizing a machine learning tool for lexical selection. This would help me convey my discoveries more effectively to fellow mental health professionals and their clients. ",288,3,238,3,0,44,44,5.545454545454546,2,22.0,3,41,1,39,0,14.2,32.22,11.19,15.7,14.5,18.8,0.0,16.5
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a doctor specializing in heart diseases, it is important for me to ensure the accuracy of medical records transcribed automatically. This would help me in providing precise and efficient treatment plans for my patients. Therefore, I want to evaluate the efficiency and accuracy of automated transcription systems by using word error rate as a measure of performance. ",370,4,303,5,0,58,58,5.379310344827586,3,19.333333333333332,5,54,1,47,0,13.2,34.97,10.86,13.6,13.4,15.31,15.0,14.0
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","As a healthcare worker, my goal is to classify data points from electronic health records using a one-class classification model. This will help me detect any unusual or abnormal behavior within the records, which could be indicative of medical errors or fraudulent activities. ",278,2,228,5,0,43,43,5.465116279069767,2,21.5,5,41,0,41,0,12.9,41.19,11.68,15.1,13.75,17.9,0.0,15.75
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As an analyst specializing in demographics, it is my goal to utilize learning linear models for the purpose of forecasting population expansion and relocation tendencies across various geographical areas. ",205,1,173,2,0,29,29,6.068965517241379,1,29.0,2,28,0,29,0,20.5,-0.27,13.79,21.7,18.11,25.39,0.0,24.5
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","A company in the field of pharmaceuticals uses artificial intelligence to examine medical literature and find potential drug treatments for a certain condition. This is achieved by training algorithms on specific words and ideas connected to the disease, making it easier for researchers to focus on the most promising options. ",328,2,273,3,0,50,50,5.56,2,25.0,3,48,1,42,0,15.4,29.18,12.46,17.3,14.92,19.6,0.0,19.0
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","As a network administrator, I need access to a legal information retrieval system, which utilizes machine learning algorithms to extract relevant data privacy and security regulations. This enables me to maintain compliance and safeguard the confidentiality of users' data. ",274,3,227,5,0,39,39,6.0256410256410255,2,19.5,5,36,1,35,0,15.6,17.84,13.51,16.7,16.94,17.03,0.0,14.25
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","As a reporter, I need to efficiently search for information on current news events and tendencies using a question-answering tool. This will help me stay informed and accurately report the news. ",195,3,157,4,0,31,31,5.290322580645161,2,15.5,4,28,1,29,0,9.3,55.74,9.5,11.2,12.35,12.65,0.0,10.25
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As a researcher specializing in demography, I need to utilize rule induction techniques to determine the key variables impacting migration trends, enabling me to gain a deeper insight into population movements and their underlying causes. ",239,2,199,3,0,35,35,5.828571428571428,1,35.0,3,33,1,32,0,20.5,10.57,13.49,23.5,16.6,23.14,0.0,25.5
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","As a healthcare professional specializing in endocrinology, I desire to harness the power of an advanced pre-trained language model for analyzing medical research and patient records. By doing so, I aim to uncover hidden patterns related to hormone levels and treatment efficacy. This knowledge will be leveraged to create more accurate and efficient hormone therapies. ",370,5,304,6,0,55,55,5.7272727272727275,3,18.333333333333332,6,50,2,48,0,14.0,27.52,12.3,14.7,15.32,15.32,14.1,12.833333333333334
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a database administrator, it would be beneficial for me to implement the use of fasttext within our information systems. This would allow for efficient classification and categorization of data within the system, ultimately making it easier and more accurate for users to search for the information they need. ",313,2,258,4,0,49,49,5.387755102040816,2,24.5,4,47,0,37,0,15.2,29.69,10.33,16.2,13.81,17.96,0.0,17.75
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","As a music producer, I desire to employ a model consisting of an encoder and decoder to create tailored music suggestions for users, taking into account their past listening habits and preferences. This is intended to enhance user involvement and contentment. ",260,3,212,4,0,41,41,5.341463414634147,2,20.5,4,38,1,35,0,12.5,42.21,11.59,14.0,13.11,16.0,0.0,14.25
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","As a researcher in social science, I seek to apply phrase embeddings in examining how social events are reflected on social media platforms. By doing so, I aim to enhance my comprehension of public opinion regarding social concerns and contribute valuable insights to the development of social theories and analyses. ",317,4,259,4,0,50,50,5.34,2,25.0,4,46,2,40,0,14.2,37.64,11.82,16.2,13.52,16.4,0.0,16.5
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a social worker, I need to have the ability to apply stemming algorithms on social work case notes to identify and link similar cases together, which in turn will help me in understanding and addressing the needs of my clients more effectively. ",248,2,200,3,0,43,43,4.767441860465116,1,43.0,3,41,1,37,0,20.1,27.83,11.28,22.5,10.87,23.71,0.0,29.5
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","As a social media marketing professional, my goal is to utilize information processing language to create algorithms that analyze the interests and preferences of users based on their social media activity. By doing so, I hope to refine my marketing strategies and make them more efficient. ",291,3,238,4,0,46,46,5.326086956521739,2,23.0,4,43,1,39,0,14.6,31.21,11.3,15.2,13.41,17.9,0.0,17.0
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","As a marketer, I wish to apply regression analysis in order to foresee customers' actions and enhance marketing efforts. ",121,2,97,3,0,19,19,5.368421052631579,1,19.0,3,17,1,18,0,11.9,43.73,12.89,13.4,12.94,13.92,0.0,12.5
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.",Endocrinologists desire to employ the random subspace technique to pinpoint the primary variables contributing to diabetes susceptibility. ,139,1,120,1,0,17,17,7.176470588235294,1,17.0,1,16,0,14,0,18.2,-5.01,14.7,20.9,23.72,18.56,0.0,13.5
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","As a music production professional, I desire to enhance the precision of my music suggestion algorithms through the application of normalization methods in order to effectively recommend new music to listeners based on their preferences. ",238,2,199,2,0,35,35,5.8,1,35.0,2,33,1,29,0,20.5,10.57,11.69,23.4,16.6,26.57,0.0,28.5
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As an analyst in the field of demography, my goal is to leverage implicit feedback to enhance my understanding of migration patterns within a population. By doing so, I hope to uncover the underlying factors that motivate people to move from one location to another. This knowledge can then be applied towards more precise predictions of future population shifts and resource allocation. ",388,4,317,5,0,62,62,5.258064516129032,3,20.666666666666668,5,58,1,54,0,13.7,33.54,11.03,13.7,12.76,16.02,15.5,15.0
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As a city planner, my goal is to leverage spiking neural network technology to study demographic trends, residential movement, and real estate dynamics in order to craft wise and strategic recommendations for urban planning. ",225,1,186,4,0,34,34,5.617647058823529,1,34.0,4,33,0,31,0,18.9,20.05,13.22,22.0,15.21,19.48,0.0,22.0
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a marketer, I desire to enhance my understanding of current market trends and potential growth areas. To achieve this, I would like to leverage the power of query expansion, which involves broadening my search terms and incorporating relevant market data. By doing so, I aim to refine my marketing strategies and ultimately boost overall performance. ",354,6,285,7,0,56,56,5.321428571428571,3,18.666666666666668,7,50,3,45,0,11.8,44.03,11.9,13.0,12.88,13.91,13.0,12.333333333333334
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a network administrator, I desire to utilize the Filter and Sample SVM method to identify critical network characteristics from extensive collections of network data, allowing me to enhance network efficiency and safety more effectively. ",241,7,196,3,0,35,35,5.885714285714286,1,35.0,3,30,2,29,0,21.7,2.11,13.04,23.8,16.95,24.29,0.0,26.5
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","As a researcher specializing in law, my goal is to utilize inductive reasoning techniques for the purpose of recognizing recurring themes in judicial proceedings. By uncovering these patterns, I aim to gain fresh perspectives on how legal judgments are made and subsequently guide future policy formulation within the legal domain. ",332,3,275,4,0,50,50,5.64,2,25.0,4,47,1,46,0,15.4,29.18,12.14,17.6,15.26,19.6,0.0,18.5
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","As a radiologist, I would like to employ machine learning algorithms, specifically random forests, to forecast the development of illnesses and therapeutic results by analyzing factors such as patient characteristics, prior health records, and visual reports. This will enhance the quality of patient care and guide medical treatment planning. ",344,3,285,7,0,49,49,6.020408163265306,2,24.5,7,46,1,42,0,16.4,21.23,12.91,19.2,17.12,17.96,0.0,17.25
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.","As an artist, I wish to utilize a neural network that utilizes a feedforward mechanism to forecast the achievement of music and the inclination of audiences toward various music pieces using available music-related data. This will help me make more informed decisions in music creation and enhance my musical pieces by taking into account audience preferences and the likelihood of success in the music industry. ",413,3,341,4,0,65,65,5.3538461538461535,2,32.5,4,62,1,51,0,17.1,30.03,11.56,20.0,13.99,20.38,0.0,22.25
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","As an academic researcher, my goal is to utilize inverse reinforcement learning as a tool for analyzing political decision-making processes and predicting voter behavior. Through this method, I aim to gain a deeper understanding of the factors that shape political choices, ultimately improving my ability to forecast political trends. ",336,3,278,6,0,49,49,5.857142857142857,2,24.5,6,46,1,42,0,16.4,21.23,12.26,18.4,16.25,19.6,0.0,19.25
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.","As an expert on social studies, it is important for me to utilize early stopping techniques to avoid overfitting when creating models that predict social inequality and mobility based on surveys. ",196,1,162,2,0,31,31,5.32258064516129,1,31.0,2,30,0,28,0,16.6,31.55,12.31,19.1,13.82,17.56,0.0,20.5
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.","As a digital marketer, my goal is to utilize machine learning algorithms to analyze customer data, creating highly tailored marketing strategies that boost conversion rates and increase overall sales performance. ",213,1,179,3,0,30,30,6.1,1,30.0,3,29,0,29,0,17.4,24.11,15.12,22.3,18.11,21.33,0.0,22.0
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","As an analyst specializing in news coverage, I desire to employ GloVe for the purpose of examining linguistic usage and sentiment trends within news media. By doing so, I hope to uncover any hidden biases, detect instances of disinformation, and contribute to a more responsible and ethical journalism culture. ",311,6,250,6,0,49,49,5.346938775510204,2,24.5,6,44,2,42,0,16.4,21.23,12.26,16.0,13.29,20.41,0.0,18.75
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","As a music producer, my goal is to utilize Recurrent Neural Network (RNN) technology to examine listener data over an extended period. By doing so, I hope to discover trends and patterns in people's musical tastes, ultimately leading to the development of improved music suggestion algorithms. ",294,9,231,8,0,46,46,5.391304347826087,2,23.0,8,39,2,42,0,15.8,22.75,13.02,15.5,13.29,19.63,0.0,18.0
