Domain,Machine Learning Task,User Story,par phi3:medium,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","As an expert in literature studies, my aim is to apply representation learning techniques for examining literary information with the goal of pinpointing essential characteristics indicative of a work't prosperity. This will enable us to create more effective literary evaluation instruments and develop improved approaches for publishing.",339,2,287,4,0,46,47,6.23404255319149,2,23.5,4,45,0,43,0,18.4,5.32,13.2,19.7,18.69,23.02,0.0,20.25
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","As an investigator in the field of computer vision, my goal is to extract insights from image datasets by examining their visual elements and surrounding environment to enhance both theoretical understanding and practical use in computer vision technology.",256,1,216,2,0,37,38,5.7631578947368425,1,38.0,2,37,0,34,0,22.8,-0.94,12.59,24.7,16.43,25.73,0.0,30.0
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","As an expert in politics, my goal is to leverage the power of a classifier chain technique for forecasting various kinds of political events by considering how interconnected elements like societal sentiments and press exposure impact each other, ultimately enhancing my comprehension of political processes.",308,1,260,3,0,44,45,5.866666666666666,1,45.0,3,44,0,41,0,25.6,-8.05,13.59,28.7,17.25,31.33,0.0,38.5
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","As a professional in social work, my goal is to employ tree-based algorithms for examining patient information and pinpointing elements that impact the results of psychological wellness.",186,1,156,3,0,26,27,5.925925925925926,1,27.0,3,26,0,27,0,18.5,10.23,13.16,20.0,16.71,21.17,0.0,20.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As an expert in population studies, it is essential for me to determine the dividing line within a classification algorithm used to examine shifts and patterns in various population groups.",189,1,157,2,0,29,30,5.333333333333333,1,30.0,2,29,0,27,0,18.5,15.65,12.49,18.7,13.88,22.67,0.0,24.0
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As an investigator of social networking trends, my objective is to employ the technique of labeling words according to their grammatical role within messages shared by individuals, with the aim of detecting recurring themes and styles in dialogue exchange.",256,1,214,3,0,38,39,5.589743589743589,1,39.0,3,38,0,35,0,20.9,14.97,14.07,24.4,15.27,25.86,0.0,29.5
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As an expert in computer vision studies, my aim is to utilize Support Vector Regression (SVR) for forecasting how well object identification and classification techniques will perform by analyzing different imagery aspects like hue, surface patterns, and geometry, enabling me to refine the algorithms' efficiency and enhance their precision.",342,7,279,8,0,48,49,6.0,1,49.0,8,44,1,46,0,25.9,-3.65,14.77,31.3,17.48,27.76,0.0,35.5
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As an expert in psychology, my objective is to employ graph analysis techniques for examining the intricacies of social connections, pinpoint determinants influencing mental well-being, thereby enhancing the design of targeted therapsychological strategies and therapies.",271,1,231,5,0,34,35,6.771428571428571,1,35.0,5,34,0,33,0,25.2,-23.28,15.3,28.0,21.77,27.71,0.0,30.5
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","As an expert in transportation analysis, my goal is to gather phrases consisting of multiple words from online discussions about traffic conditions so that I can examine and understand the trends in traffic flow.",212,2,175,2,0,33,34,5.264705882352941,1,34.0,2,32,1,32,0,16.6,36.97,11.36,20.3,13.53,21.84,0.0,25.0
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","As an expert reviewer in literature, my objective is to employ value iteration techniques for enhancing the distribution of literary assets, which will ultimately foster greater reading proficiency and deepen appreciation for diverse cultures.",243,1,206,3,0,33,34,6.176470588235294,1,34.0,3,33,0,33,0,22.5,-5.34,14.15,24.7,18.63,25.36,0.0,27.0
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As a system specialist focusing on data analysis, my objective is to implement automated sentence summarization techniques to extract crucial insights from customer comments. This approach will enable me to swiftly pinpoint prevalent problems and potential development opportunities within applications, ultimately leading to an improved user interface and overall experience for the end-users.",394,2,335,5,0,52,53,6.452830188679245,2,26.5,5,51,0,49,0,19.5,2.28,14.78,22.2,19.9,21.17,0.0,20.25
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","As an expert in psychology, I seek to implement a machine learning-based lexical selection tool with the aim to enhance both precision and clarity within my scholarly articles and clinical assessments. This will enable me to effectively convey my insights to fellow mental health practitioners as well as patients.",314,3,259,4,0,48,49,5.428571428571429,2,24.5,4,46,1,42,0,15.2,29.69,11.94,16.4,14.05,19.6,0.0,18.75
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a heart specialist, my aim is to employ word error rate as a metric to assess the precision of machine-generated text conversion in clinical records and patient observations, which will enable me to deliver enhanced theraebuty care solutions.",245,1,202,4,0,38,39,5.3076923076923075,1,39.0,4,38,0,35,0,20.9,14.97,12.86,23.1,13.53,24.83,0.0,28.5
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","As someone working in the health sector, my aim is to implement one-class classifiers for spotting irregular patterns within digital patient files, which will aid me in uncovering possible instances of medical discrepancies or deception.",237,1,198,4,0,34,35,5.8,1,35.0,4,34,0,34,0,19.3,19.03,12.59,23.4,16.31,23.14,0.0,26.5
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As an expert studying populations, my goal is to apply knowledge of linear algorithms for forecasting trends in population expansion and shifts within various areas.",165,1,138,2,0,24,25,5.64,1,25.0,2,24,0,25,0,15.4,29.18,14.35,17.6,15.26,19.6,0.0,18.5
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","The pharmaceutical firm employs NLP techniques to examine research articles and pinpoint possible medicinal leads for a specific illness. The AI models are programmed to detect important terms and ideas associated with the disease, enabling the business to swiftly discover promising prospects for additional investigation.",323,7,269,3,0,44,45,6.2,2,22.5,3,41,2,38,0,15.6,23.26,14.23,19.0,18.57,16.11,0.0,16.75
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","As a professional in network engineering, my objective is to leverage an AI-driven legal research tool to efficiently locate and scrutinize legislation pertaining to the safeguarding of personal information and cybersecurity. This will enable me to uphold adherence standards and securely manage user data.",306,4,255,4,0,43,44,5.9772727272727275,2,22.0,4,41,0,39,0,16.6,15.31,13.7,17.7,16.88,20.62,0.0,17.5
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","As an individual working in journalism, I need a tool that employs question-answering technology for rapid retrieval of data on current happenings and patterns, which will enhance the accuracy and depth of my news analysis and storytelling.",240,2,198,4,0,36,37,5.513513513513513,1,37.0,4,35,1,34,0,20.1,17.0,12.73,23.0,14.69,23.45,0.0,26.5
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As an expert in demography, my goal is to utilize rule induction techniques to uncover key elements affecting migration trends, which will enhance my comprehension of demographic shifts.",186,1,155,3,0,27,28,5.678571428571429,1,28.0,3,27,0,26,0,16.6,26.14,12.92,19.3,15.32,22.63,0.0,22.0
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","As a specialist in hormones, I aim to utilize an existing linguistic AI tool for examining scholarly articles and patient data. The goal is to detect consistent trends concerning hormonal fluctuations and reactions to interventions. This knowledge will then be applied towards creating improved hormone-based treatments.",320,6,264,5,0,45,46,5.978260869565218,3,15.333333333333334,5,41,2,43,0,12.8,30.57,13.32,14.4,16.17,17.42,15.0,12.0
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a specialist in information systems, my objective is to utilize the fasttext tool for effectively organizing and labeling data within databases and other relevant platforms, ultimately enhancing the ease and precision with which users can retrieve necessary information.",273,1,231,3,0,38,39,6.0256410256410255,1,39.0,3,38,0,36,0,23.2,-1.96,14.07,26.5,17.82,26.88,0.0,31.5
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","As the individual creating music tracks, I aim to utilize an encoder-decoder framework that analyzes a listener's past preferences and activities to craft tailored musical suggestions, enhancing overall enjoyment and interaction with our content.",246,2,206,5,0,33,34,6.264705882352941,1,34.0,5,32,1,32,0,21.3,3.13,14.61,25.1,18.81,26.54,0.0,29.0
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","As an analyst specializing in society, I aim to employ word vector representations for examining connections between societal occurrences and how they are portrayed on online platforms; this will enhance my comprehension of communal attitudes towards social matters while providing valuable insights that could refine sociological theories and methodologies.",358,2,305,3,0,48,49,6.326530612244898,1,49.0,3,47,1,48,0,27.1,-12.11,14.12,32.9,19.97,31.84,0.0,39.5
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a professional in social services, I aim to employ stemming techniques for examining records from client sessions to recognize connections between different situations, thus enhancing my comprehension and support towards their requirements.",243,2,206,3,0,32,33,6.393939393939394,1,33.0,3,31,1,32,0,19.7,12.6,13.89,25.2,19.85,22.9,0.0,25.5
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","As someone responsible for promoting products on social networks, I aim to employ natural language processing techniques to create programs that can evaluate users' tastes and likings based on their online behavior. The purpose is to formulate superior approaches for advertising through social channels.",304,3,254,4,0,43,44,5.931818181818182,2,22.0,4,41,1,39,0,14.2,32.22,13.34,17.5,16.59,17.89,0.0,16.0
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","As a marketing professional, my objective is to employ linear regression techniques for forecasting customer actions and enhancing the effectiveness of promotional initiatives.",176,1,151,2,0,22,23,6.695652173913044,1,23.0,2,22,0,23,0,18.2,5.83,13.7,21.6,21.35,24.85,0.0,20.5
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","As a specialist in hormone-related disorders, my goal is to employ the technique of creating multiple subsets for analysis to pinpoint the key variables contributing to an increased likelihood of developing diabetes.",216,1,181,3,0,31,32,5.78125,1,32.0,3,31,0,28,0,19.3,13.62,13.61,21.8,16.31,25.3,0.0,26.0
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","As a creator in the music industry, I aim to employ normalization methods to enhance the precision of my musical suggestion algorithms for more effectively aligning tunes with their intended audience.",200,2,166,2,0,30,31,5.483870967741935,1,31.0,2,29,1,29,0,17.7,23.09,12.81,19.9,14.75,24.01,0.0,24.5
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As an expert in population studies, my aim is to utilize insights gained from subtle indications to enhance comprehension of human relocation behaviors and pinpoint the elements that prompt individuals to settle in various locations. This will enable more precise forecasts regarding forthcoming demographic shifts and distribution of resources.",345,2,292,3,0,48,49,6.061224489795919,2,24.5,3,47,0,44,0,17.6,12.77,13.87,19.4,17.82,20.41,0.0,18.75
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As a city planner, my aim is to employ the utilization of spiking neural networks for studying information regarding demographic expansion, movement of people, and residential trends. This will assist me in formulating well-informed choices concerning land management, regulation areas, as well as establishments' development.",326,2,271,9,0,44,45,6.266666666666667,2,22.5,9,43,0,42,0,15.6,23.26,13.17,19.4,18.22,19.67,0.0,17.25
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a professional in marketing, my objective is to leverage query expansion techniques for discovering fresh industry patterns and prospects through broadened searches that encompass associated terms and market information. This will enable me to refine and enhance our promotional tactics and results.",302,2,255,3,0,42,43,6.046511627906977,2,21.5,3,41,0,39,0,15.2,24.27,13.15,17.8,17.4,17.9,0.0,15.75
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a specialist in networking systems, my aim is to employ the Feature Selection Support Vector Machine (FSS-SVM) method for identifying key attributes within extensive sets of network activity records. This will enable me to enhance the efficiency of our network operations and bolster its security measures more effectively.",326,13,259,6,0,48,49,5.673469387755102,2,24.5,6,41,1,45,0,15.2,29.69,13.55,17.5,15.21,17.96,0.0,17.25
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","As an individual involved with legal analysis, my objective is to employ inductive reasoning techniques to detect recurring trends within judicial rulings. This will enable me to generate fresh perspectebles on the process of adjudication and contribute valuable information for shaping legislative directives.",310,2,263,3,0,42,43,6.232558139534884,2,21.5,3,41,0,41,0,16.4,15.81,13.88,18.7,18.45,21.62,0.0,17.75
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","As an expert in interpreting medical images, my goal is to employ random forest algorithms for forecasting the advancement of illnesses and therapy effectiveness by considering factors like age, health background, and scan data to enhance treatment quality and guide clinical decision-making processes.",302,1,254,5,0,42,43,6.046511627906977,1,43.0,5,42,0,40,0,24.8,-6.02,13.85,28.6,18.0,29.29,0.0,34.5
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.","As an artist, I aim to utilize a feedforward neural network for forecasting the popularity of my music among listeners by analyzing various music attributes, enabling me to make more informed choices in creating songs and refining them according to audience tastes.",265,2,219,3,0,41,42,5.333333333333333,1,42.0,3,40,1,39,0,22.0,11.93,12.86,24.7,14.12,26.32,0.0,31.0
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","As an expert in political science, my aim is to apply inverse reinforcement learning techniques to identify key elements shaping political choices and electoral patterns, enabling a deeper comprehension of political dynamics and facilitating the forecasting of future events.",275,1,233,3,0,38,39,6.076923076923077,1,39.0,3,38,0,34,0,23.2,-1.96,14.48,26.7,18.11,23.81,0.0,29.5
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.","As an expert in sociology, my objective is to incorporate the technique of early stopping into machine learning models aimed at forecasting patterns of social disparity and upward movement within society based on responses gathered through surveys.",248,1,209,2,0,36,37,5.72972972972973,1,37.0,2,36,0,36,0,21.3,8.54,13.58,24.1,16.26,22.37,0.0,25.5
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.","As someone in charge of promotions, my aim is to employ artificial intelligence techniques for interpreting customer information so as to craft highly specific advertising strategies that significantly boost revenue generation.",227,1,194,2,0,30,31,6.354838709677419,1,31.0,2,30,0,29,0,21.3,-2.3,13.32,24.0,19.79,24.01,0.0,24.5
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","As an individual specializing in evaluating news content, my objective is to employ the GloVe technique for examining linguistic trends and emotional tones within journalism outlets. This will assist me in pinpointing possible prejudices, misleading information, and various types of media distortion. Ultimately, this practice aims to encourage more responsible and transparent news coverage.",393,5,328,7,0,53,54,6.296296296296297,3,18.0,7,50,0,48,0,15.0,19.37,13.59,17.2,18.21,21.27,17.9,15.666666666666666
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","As someone creating music, it's important for me to apply recurrent neural network models when studying the evolution of listeners' choices. This will help us recognize emerging tendencies within musical likes and dislikes, ultimately allowing us to enhance our strategies in suggesting songs effectively.",305,2,254,6,0,43,44,5.954545454545454,2,22.0,6,42,0,42,0,15.4,23.77,13.34,17.6,16.48,18.8,0.0,17.0
