Domain,Machine Learning Task,User Story,par gemma:7b,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.",Psychologists want to enhance the clarity and readability of their written work by leveraging a machine learning tool for word selection.,137,1,115,1,0,20,21,5.571428571428571,1,21.0,1,20,0,21,0,13.8,33.24,9.94,15.3,14.74,17.92,0.0,15.5
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.",Cardiologists need a way to assess the accuracy of automated transcription for medical records to ensure better treatment outcomes for patients.,144,1,122,1,0,20,21,5.904761904761905,1,21.0,1,20,0,19,0,16.2,16.32,12.95,16.9,16.71,17.92,0.0,15.5
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.",Healthcare professionals should be able to identify anomalies in electronic health records using one-class classification to detect potential medical errors or fraud.,166,1,142,2,0,21,22,6.590909090909091,1,22.0,2,21,0,21,0,15.4,23.77,14.06,20.6,20.42,19.71,0.0,17.0
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","**

Analysts should utilize linear models to forecast population dynamics and migration trends across different geographical zones.",131,1,110,3,0,17,17,6.705882352941177,1,17.0,3,15,0,17,0,16.6,4.47,15.29,20.2,22.68,18.9,0.0,14.5
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","A pharmaceutical company is using AI to analyze scientific research and discover potential drug targets for a specific disease. The technology can identify important terms and concepts related to the disease, leading to rapid identification of promising targets for investigation.",280,4,234,3,0,39,40,6.025,2,20.0,3,37,2,33,0,17.0,8.88,12.92,17.0,17.23,18.0,0.0,16.5
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.",Network engineers need a machine learning-powered legal research tool to easily navigate data privacy and security regulations.,127,1,108,2,0,16,17,6.529411764705882,1,17.0,2,16,0,17,0,18.2,-5.01,15.63,17.8,19.6,20.92,0.0,15.5
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.",Journalist wants to use question-answering to gather news information efficiently for reporting.,96,1,82,2,0,11,12,7.083333333333333,1,12.0,2,11,0,11,0,16.2,0.08,12.13,17.9,21.97,21.47,0.0,11.0
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","**

Demographers can use rule induction to discover factors influencing migration patterns to better comprehend population movements.",133,1,112,3,0,17,17,6.823529411764706,1,17.0,3,15,0,16,0,17.8,-3.99,13.31,20.7,23.37,21.4,0.0,15.5
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","**

Endocrinologists need a pre-trained language model to analyze medical data, uncovering patterns in hormone levels and treatment outcomes to enhance the effectiveness of hormone therapies.",191,1,159,5,0,26,26,6.346153846153846,1,26.0,5,24,0,24,0,18.9,3.8,14.98,22.2,20.14,19.6,0.0,19.0
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","**

Information systems professionals need a tool to categorize and classify information in databases for improved search and retrieval.",136,1,113,3,0,19,19,6.157894736842105,1,19.0,3,17,0,17,0,15.0,19.37,11.55,18.2,19.14,16.09,0.0,14.5
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","**

Music producers desire an encoder-decoder model to create customized music recommendations for listeners, leveraging their past listening preferences and interests to enhance user engagement.",195,1,164,5,0,25,25,6.8,1,25.0,5,23,0,23,0,19.7,-3.65,14.7,23.9,22.92,24.6,0.0,22.5
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.",Sociologists can utilize phrase embeddings to explore the connection between social phenomena and their online presence to gain insights into public attitudes towards social issues.,181,1,155,1,0,24,25,6.28,1,25.0,1,24,0,23,0,17.8,12.26,13.09,20.6,19.21,18.0,0.0,17.5
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.",Social workers can use stemming algorithms to analyze case notes and find connections between clients' situations.,114,1,96,2,0,15,16,6.1875,1,16.0,2,15,0,16,0,11.9,38.32,13.31,15.7,17.57,16.4,0.0,12.0
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","Social media marketers need algorithms to understand user interests and preferences from social media data, so they can optimize their marketing strategies.",156,1,132,2,0,21,22,6.136363636363637,1,22.0,2,21,0,20,0,15.4,23.77,12.62,18.5,17.81,17.89,0.0,17.0
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.",Marketers need to utilize linear models to forecast consumer actions and enhance advertising strategies.,104,1,89,1,0,13,14,6.5,1,14.0,1,13,0,13,0,12.3,31.89,15.61,16.2,19.42,8.46,0.0,7.0
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","**

Endocrinologists need a tool to discover key factors influencing diabetes risk using the random subspace method.",116,1,95,3,0,17,17,5.823529411764706,1,17.0,3,15,0,17,0,13.1,29.86,13.31,15.7,17.22,13.9,0.0,12.5
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","**

Producers need to enhance the precision of their music recommendations by incorporating regularization methods.",115,1,96,3,0,15,15,6.666666666666667,1,15.0,3,13,0,15,0,18.2,-10.42,12.23,19.2,22.32,19.89,0.0,12.5
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","**

To enhance demographic analysis, I need a system that can learn from implicit feedback to pinpoint key factors driving population shifts and predict future population dynamics.",180,2,147,4,0,27,27,5.666666666666667,1,27.0,4,24,1,25,0,17.0,19.71,13.43,19.3,16.25,18.09,0.0,19.5
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","Urban planners need to leverage spiking neural networks to assess data related to population movement, housing, and urban growth patterns to guide land use planning and infrastructure decisions.",194,1,163,3,0,27,28,5.964285714285714,1,28.0,3,27,0,23,0,16.6,26.14,14.61,20.6,17.0,16.91,0.0,18.0
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","Marketers desire the ability to leverage query expansion to discover fresh market trends and opportunities by exploring related keywords and market data, ultimately enhancing their marketing strategies.",202,1,173,2,0,26,27,6.518518518518518,1,27.0,2,26,0,24,0,19.7,1.77,13.75,22.8,20.37,22.65,0.0,22.5
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.",Network engineers need a tool to identify significant network characteristics from large traffic datasets to enhance network efficiency and security.,149,1,128,1,0,19,20,6.5,1,20.0,1,19,0,17,0,17.0,8.88,12.52,19.2,20.13,20.0,0.0,16.0
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","Legal researchers desire to utilize inductive logic learning to discover patterns in legal rulings, thereby gaining deeper understanding of legal reasoning and informing policy formation.",187,1,160,2,0,24,25,6.52,1,25.0,2,24,0,22,0,18.9,3.8,14.98,21.8,20.37,19.6,0.0,19.5
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.",Radiologists can utilize random forest algorithms to forecast disease progression and treatment outcomes based on patient data.,127,1,109,1,0,16,17,6.529411764705882,1,17.0,1,16,0,17,0,14.6,20.38,15.63,17.8,19.95,13.86,0.0,11.5
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.",Musicians can use a neural network to analyze music data and predict audience preferences to optimize their musical creations.,126,1,106,1,0,18,19,5.684210526315789,1,19.0,1,18,0,18,0,14.2,26.81,13.72,14.8,15.37,20.23,0.0,15.5
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","**

Political scientists desire to utilize inverse reinforcement learning to explore the determinants of political actions and voting patterns, with the aim of unraveling political patterns and making forecasts.",211,1,177,4,0,29,29,6.275862068965517,1,29.0,4,27,0,23,0,20.1,0.76,12.36,23.2,19.9,18.34,0.0,21.5
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.",Sociologists should implement early stopping to avoid overfitting when creating models based on surveys to forecast social inequality and mobility.,147,1,126,1,0,19,20,6.4,1,20.0,1,19,0,19,0,17.0,8.88,14.1,18.7,19.55,20.0,0.0,16.0
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.",Marketers want to leverage machine learning to analyze consumer data and create more precise marketing campaigns to increase sales.,131,1,111,1,0,18,19,5.947368421052632,1,19.0,1,18,0,17,0,11.9,43.73,14.55,16.1,16.88,11.81,0.0,11.5
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","News analysts need GloVe to analyze news media for language patterns and sentiment to detect biases, misinformation, and manipulation.",134,3,110,3,0,18,19,6.105263157894737,1,19.0,3,17,0,16,0,16.6,9.89,12.06,16.8,17.23,20.23,0.0,15.5
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","**

Music producers need a tool to analyze listener behavior over time using RNN architecture, in order to understand music preferences and optimize music recommendations.",171,4,138,4,0,25,25,5.84,1,25.0,4,22,1,22,0,18.6,4.82,11.41,19.2,17.35,22.93,0.0,21.5
