Domain,Machine Learning Task,User Story,par starling-lm,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","- ""social media analyst"" becomes ""analyst focused on social media""
- ""explicit semantic analysis"" is rephrased as ""advanced semantic analysis techniques""
- ""sentiment and trends"" remains the same
- ""improve social media engagement"" is expressed as ""enhance the level of interaction with users""
- ""better understand user behavior"" is changed to ""deepen my comprehension of their behaviors and preferences""",404,0,323,23,0,58,59,5.864406779661017,1,59.0,23,54,0,46,0,27.9,-8.72,13.92,35.8,18.29,29.75,0.0,44.5
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","As a medical professional specializing in cardiology, I aim to leverage Elman network technology for predicting which individuals are at the greatest risk of developing heart disease by taking into account their medical backgrounds, daily habits, and genetic information. Furthermore, I seek to apply Elman networks to analyze the progression of heart disease and evaluate the potential success of distinct treatment methods.",425,6,352,6,0,61,62,5.870967741935484,2,31.0,6,56,2,50,0,20.1,6.17,12.56,21.7,16.78,22.08,0.0,23.5
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.","As a transportation expert, I desire to utilize the field of computational linguistics to examine social media content, with the goal of gaining insight into the varying ways individuals across diverse geographical areas discuss and engage with transportation-related matters. This will enable me to better comprehend and address the unique concerns and perspectives in different regions.",388,3,325,5,0,55,56,5.946428571428571,2,28.0,5,53,1,47,0,17.8,17.68,12.64,20.6,17.0,17.63,0.0,19.0
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.","As a medical imaging specialist, I desire to employ advanced supervised machine learning algorithms, specifically deep neural networks, for the identification and categorization of abnormalities within diagnostic images, including detecting tumorous growths and identifying bone fractures.

In this paraphrased version, the user story maintains its core meaning while being rephrased to use alternative terminology and sentence structure. The focus remains on utilizing supervised deep networks for medical image analysis, particularly in identifying tumors and fractures, as requested by a radiologist.",603,4,509,10,0,80,80,6.5375,3,26.666666666666668,10,76,1,66,0,19.6,2.07,13.25,22.7,20.19,20.68,18.9,21.0
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.","In this paraphrased version, the user's role as an economist has been changed to a financial analyst, which maintains the same intent of analyzing and forecasting economic trends. Additionally, the terms ""inform"" and ""economic policy decisions"" have been replaced with ""guide"" and ""fiscal policies,"" respectively, to convey the same meaning while using different words.",369,2,298,16,0,53,54,5.851851851851852,2,27.0,16,52,0,46,0,15.0,35.61,12.87,19.6,15.26,18.21,0.0,19.5
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","1. The role of a sociologist who seeks to apply machine learning in their work.
2. The continuous improvement of sociological models and theories through lifelong machine learning.
3. Adaptation of these models to changing social trends and patterns.
4. Enhanced accuracy and insightfulness in the analysis of social phenomena and trends.
5. Utilization of these analyses within social science research and other relevant applications.",435,5,351,10,5,64,65,5.707692307692308,10,6.5,10,55,0,48,0,10.7,41.36,12.3,12.0,14.02,13.2,12.3,8.1
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.","1. The user is a transportation engineer or professional with expertise in the field.
2. They intend to use Convolutional Neural Networks (CNNs) for classifying different traffic patterns.
3. The source of data for these classifications will be video footage captured by traffic cameras.
4. The ultimate goal is to better understand traffic flows and develop targeted strategies for traffic management based on the insights derived from the analysis.",450,10,358,10,4,68,69,5.536231884057971,8,8.625,10,57,0,57,0,11.2,45.46,11.82,13.3,13.69,13.3,13.8,12.125
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.","1. Replaced ""team"" with ""group"" for variety.
2. Used ""investigators"" instead of ""researchers"" for synonymous meaning.
3. Changed ""using speech synthesis technology"" to ""employs advanced speech generation techniques"" for variation in wording.
4. Replaced ""study"" with ""explore"" for a different perspective.
5. Utilized ""simulating animal sounds"" instead of ""synthesize animal sounds"" for a slight change in phrasing.
6. Expressed the outcome as ""gain deeper insights"" rather than ""better understand"" to convey the same idea differently.",535,6,413,36,6,74,75,6.1466666666666665,12,6.25,36,63,0,60,0,9.3,50.33,11.84,13.8,14.72,10.87,12.2,7.75
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.","As a mental health professional, I desire to implement pattern recognition techniques to discern trends within patients' conduct information and make projections about their future situations, so as to better develop and tailor therapy strategies accordingly.

In this paraphrased version, the focus remains on the use of pattern recognition for identifying patterns in patient behavior data, predicting outcomes, and informing treatment plans. The emphasis is placed on the perspective of a mental health professional (psychologist) and the goal of enhancing therapy strategies by leveraging these insights.",608,4,507,11,0,86,86,6.069767441860465,3,28.666666666666668,11,82,1,65,0,18.0,16.96,12.4,21.5,17.76,19.85,18.2,21.333333333333332
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","As a digital marketing professional specializing in social media, my objective is to analyze and break down the language within user-generated comments in order to gain insight into public opinion regarding a particular product or service. This process of tokenization enables me to better comprehend the sentiment expressed by users and informs my marketing strategy accordingly.

In this paraphrased version, we maintain the core idea of using tokenization to understand user sentiment but rephrase it in a way that highlights the role of the digital marketing professional and emphasizes the importance of analyzing and interpreting data for effective marketing strategies.",676,3,567,6,0,100,100,5.76,3,33.333333333333336,6,97,0,72,0,19.8,12.3,11.92,22.4,16.37,20.92,20.3,25.666666666666668
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","As a political researcher, I desire to employ feature extraction techniques in order to pinpoint and isolate significant characteristics within political datasets, such as electoral tendencies and party allegiance. By doing so, our team will be able to gain a more profound comprehension of various political frameworks and their underlying dynamics.

In this paraphrased version, the user story maintains its core elements while using different words and phrasing. The focus remains on utilizing feature extraction for analyzing political data and understanding diverse political systems.",589,5,492,8,0,84,84,6.011904761904762,4,21.0,8,79,1,68,0,15.0,24.78,12.01,17.4,17.06,15.07,15.9,15.5
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","As a librarian, it is crucial for me to utilize multinomial logistic regression as a tool to forecast user inclinations and requirements by examining library usage patterns and user attributes. This approach will enable me to augment the ease of access and exploration for library patrons, ultimately improving their overall experience.

In this paraphrased version, the focus remains on using multinomial logistic regression as a method for predicting user preferences and needs. The goal is still to enhance library users' access and discovery by analyzing library usage data and considering user characteristics.",615,4,511,8,0,92,92,5.684782608695652,4,23.0,8,88,0,61,0,15.8,22.75,11.81,16.8,15.5,16.59,15.9,16.5
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","As a social networking platform, our objective is to leverage a recurrent neural network to forecast user relationships and the behavioral patterns within the social network ecosystem. By analyzing past data and user engagement activities, we aim to enhance the overall social network experience for our users by making accurate predictions about their connections and interactions.",382,2,321,4,0,55,56,5.839285714285714,2,28.0,4,54,0,42,0,17.8,17.68,12.36,20.1,16.48,20.49,0.0,20.5
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","As a filmmaker, I desire to employ keyword recognition to pinpoint particular subjects and aspects within screenplays, enabling me to produce captivating and profitable motion pictures with heightened appeal.

In this paraphrased version, the key elements are preserved while using different words and sentence structure. The main focus remains on utilizing keyword spotting for identifying specific themes and elements in movie scripts as a means to enhance movie production outcomes.",485,4,405,6,0,70,70,5.928571428571429,3,23.333333333333332,6,66,1,57,0,13.6,39.37,13.14,18.2,16.89,14.46,14.1,15.333333333333334
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","As a film expert, I desire to employ dependency parsing in order to examine movie screenplays and discern recurring narrative structures.

In this paraphrased version of the user story, we focus on the role of a film analyst who seeks to leverage dependency parsing as a tool for analyzing movie scripts. This analysis aims to uncover and identify consistent narrative patterns within these scripts, ultimately providing valuable insights into the structure and storytelling techniques employed in cinema.",505,4,418,6,0,77,77,5.558441558441558,3,25.666666666666668,6,73,1,58,0,15.7,28.47,12.09,17.6,14.8,17.55,16.3,18.166666666666668
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","1. The focus on literary scholarship remains central, emphasizing the role of representation learning in analyzing literary data.
2. The aim is to identify key features that are predictive of literary success, which will inform better analysis tools and publishing strategies.",276,2,226,6,2,40,41,5.7560975609756095,4,10.25,6,37,0,36,0,14.8,25.29,13.13,15.9,15.26,16.98,0.0,15.75
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","As a researcher specializing in computer vision, I aim to extract valuable insights from a wealth of image data by examining both the specific contents and the surrounding context within these visual materials. This exploration will contribute significantly to the advancement and refinement of computer vision methods and their real-world implementation.",355,3,298,4,0,50,51,5.980392156862745,2,25.5,4,48,1,43,0,16.8,20.21,12.02,19.5,17.24,19.61,0.0,19.75
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","- ""political scientist"" is replaced with ""political science expert"" to maintain the context without changing the meaning.
- ""classifier chain"" is changed to ""series of linked classifiers"" for a slight variation in terminology.
- ""predict different types of political outcomes"" is rephrased as ""forecast various political results"" for a fresh expression.
- ""interactions between multiple factors"" is modified to ""interplay among numerous variables"" for a different phrasing.
- ""public opinion and media coverage"" remains the same, as it is a commonly used phrase in discussing political dynamics.",595,0,480,29,0,86,87,5.850574712643678,5,17.4,29,82,0,63,0,13.2,29.45,12.34,16.0,16.35,14.36,15.1,13.1
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","1. The target audience remains the same - social workers.
2. The primary focus is on using tree algorithms (such as decision trees) for data analysis.
3. The objective is to study patient information and identify influential factors related to mental health outcomes.",267,3,210,9,3,42,43,5.232558139534884,6,7.166666666666667,9,36,0,38,0,11.1,40.35,13.73,10.8,11.94,15.12,13.6,10.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As a professional studying populations, it is crucial for me to determine the threshold or dividing line for categorizing different groups within the context of analyzing demographic patterns and trends. This will allow for an effective segmentation model that can aid in understanding various population dynamics.

In this paraphrased version, the key elements have been maintained while rephrasing the sentence to convey a similar meaning. The focus remains on the necessity for a demographer to identify a decision boundary or threshold for categorizing segments of a population in order to analyze and understand demographic trends effectively.",648,4,542,6,0,96,96,5.75,4,24.0,6,92,0,70,0,16.2,21.74,11.41,17.7,16.02,18.35,17.7,18.5
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As an expert in social network analysis, I desire to utilize part-of-speech tagging as a means for investigating the dialogues and interchanges that transpire among individuals connected through social networks, with the overarching intention of uncovering and interpreting the hidden patterns present within these modes of communication.",338,2,285,5,0,46,47,6.212765957446808,1,47.0,5,45,1,41,0,25.2,-1.62,13.02,31.3,19.05,28.16,0.0,34.5
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As a computer vision expert, my goal is to leverage Support Vector Regression (SVR) in order to forecast the effectiveness of object detection and identification techniques by examining diverse visual characteristics like color, pattern, and form. This approach will enable me to refine algorithm development and enhance precision.

In this paraphrased version, we maintain the core idea of using Support Vector Regression (SVR) for predicting the performance of object detection and recognition algorithms based on visual features such as color, texture, and shape. The focus remains on optimizing algorithm design and increasing accuracy as the primary objectives of the user story.",684,16,553,14,0,101,101,5.772277227722772,4,25.25,14,89,2,72,0,16.7,20.42,12.24,18.4,15.67,17.64,16.5,18.0
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As a psychology professional, I aim to utilize graph analysis techniques in the examination of social networks, with the goal of pinpointing elements that influence psychological well-being. This approach will enable me to design targeted interventions and tailored treatment strategies, ultimately enhancing their effectiveness in addressing mental health concerns.",366,3,309,6,0,48,49,6.489795918367347,2,24.5,6,46,1,45,0,17.6,12.77,13.55,21.4,19.96,21.23,0.0,19.75
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","1. The role of the person involved - a transportation engineer or professional.
2. The action they want to perform - extracting multiword expressions from social media data.
3. The purpose behind the action - analyzing traffic patterns and understanding prevalent behaviors or trends in road traffic.",300,3,239,9,3,46,47,5.404255319148936,6,7.833333333333333,9,38,0,39,0,11.4,39.63,12.62,13.1,14.43,13.15,13.0,10.833333333333334
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","As a literary expert, my goal is to leverage value iteration techniques in order to enhance the distribution of literary resources and foster greater accessibility to literature. This approach aims to cultivate literacy skills and encourage cultural comprehension among readers.

In this paraphrased version, the focus remains on utilizing value iteration as a tool for optimizing literary resource allocation, with the ultimate objective of promoting literacy and fostering cultural understanding. The emphasis on the role of a literary critic is maintained, while the language has been slightly adjusted to convey the same idea in a different manner.",652,4,543,8,0,97,97,5.721649484536083,4,24.25,8,93,0,67,0,16.3,21.43,11.68,17.6,15.73,17.97,18.0,18.875
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As a data analysis professional, I desire to employ automated sentence extraction techniques for efficiently discerning critical details from user input. This approach enables me to swiftly pinpoint recurring challenges and opportunities for optimization within the software domain, ultimately contributing to an elevated user experience.

In this paraphrased version, the focus remains on using sentence extraction as a tool to identify key information from user feedback, while emphasizing its role in improving software performance and user satisfaction. The language has been rephrased to maintain the core message but with slight variations in word choice and structure.",675,5,566,8,0,96,96,6.03125,4,24.0,8,91,1,74,0,16.2,21.74,12.56,19.0,17.53,18.35,16.5,17.5
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","- ""As a psychologist"" becomes ""As a practicing psychologist""
- ""I want to use a machine learning system for lexical choice"" becomes ""I desire a machine learning-based tool that facilitates optimal word selection""
- ""improve the accuracy and readability of my research papers and psychological reports"" is rephrased as ""enhance both precision and comprehension levels within my scholarly publications on psychology and related research papers""
- ""so that I can better communicate my findings"" becomes ""to effectively convey the results of my studies""
- ""other mental health professionals and patients"" is expressed as ""my fellow mental health professionals as well as the patients they serve""
- ""fostering greater understanding and collaboration within our field"" encapsulates the goal of ""better communication"" in the original user story.",838,5,677,32,0,124,125,5.712,1,125.0,32,114,3,87,0,53.2,-74.7,15.38,66.3,17.14,55.67,0.0,71.0
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a practicing cardiologist, my goal is to assess the precision of automated transcription services utilized for medical report and patient record documentation. By utilizing word error rate as an evaluation metric, I aim to ensure the highest level of accuracy in these transcriptions, ultimately leading to improved treatment efficacy and enhanced patient care.

In this paraphrased version, the original user story has been rephrased while maintaining its core message. The focus remains on the cardiologist's desire to use word error rate as a means of evaluating automated transcription services for medical reports and patient notes. This evaluation process will contribute to more accurate and effective treatments for their patients.",742,6,616,10,0,110,110,5.745454545454545,5,22.0,10,104,1,80,0,14.2,32.22,11.04,16.7,15.49,16.07,15.6,14.2
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","As a medical expert, I desire to employ one-class classification methodologies for identifying unusual patterns within digital health records. This approach enables the detection of possible instances of medical mistakes or unethical practices, such as fraud, thereby facilitating improved patient care and ethical conduct within the healthcare industry.",354,3,298,6,0,47,48,6.395833333333333,2,24.0,6,45,1,43,0,17.4,13.28,13.71,20.7,19.38,18.77,0.0,18.5
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As a demography expert, I desire to apply linear model training techniques in order to forecast population expansion and migratory trends across various geographical areas.

In this paraphrased version of the user story, we emphasize the role of the user as a demography specialist who wants to employ linear models for predicting both population growth and migration patterns within different regions. The focus remains on the use of learning linear models, with an added emphasis on the expert's profession in the field of demography.",536,4,441,7,0,84,84,5.380952380952381,3,28.0,7,80,1,62,0,16.6,26.14,11.98,17.9,13.76,16.91,16.3,19.333333333333332
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","1. The subject is now a ""biopharmaceutical organization"" instead of a ""pharmaceutical company.""
2. The focus is on utilizing ""advanced natural language processing techniques"" rather than just ""natural language processing.""
3. The action involves ""scrutinizing scientific journals"" instead of ""analyzing scientific papers.""
4. The goal remains the same",351,4,277,19,4,47,48,6.333333333333333,8,6.375,19,40,0,38,0,12.7,25.46,11.14,14.4,16.28,12.3,13.4,8.25
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.",1. The role of the user,23,1,15,1,1,5,6,3.0,2,3.0,1,4,0,5,0,0.9,99.23,11.83,-4.4,-4.43,2.4,0.0,2.0
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","As a journalist, I aim to leverage question-answering systems for swiftly accessing information on newsworthy events and developing trends. This approach will empower me to enrich the quality and timeliness of my reporting, ensuring that my readers or viewers receive well-informed news coverage.",296,3,245,6,0,42,43,5.906976744186046,2,21.5,6,40,1,40,0,14.0,32.73,12.78,17.2,16.19,19.76,0.0,16.75
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As a professional in population analysis, my goal is to employ rule induction techniques to discern the significant variables impacting migration tendencies. By doing so, I aim to gain a deeper comprehension of the complexities inherent in population dynamics.

In this paraphrased version, the focus remains on using rule induction for identifying influential factors on migration patterns, with the ultimate objective being a more profound understanding of population dynamics. The emphasis is shifted slightly towards the role of a professional in population analysis rather than simply referring to oneself as a demographer, and the term ""rule induction techniques"" is used instead of ""rule induction.""",706,5,584,13,0,104,104,5.788461538461538,5,21.0,13,99,1,71,0,17.0,19.71,10.85,18.8,15.84,18.09,18.8,19.75
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","1. The primary focus is on endocrinologists and their need for a pre-trained language model.
2. The purpose of using the language model is to analyze medical research and patient records.
3. The goal is to identify patterns in hormone levels and treatment responses.
4. The ultimate aim is to develop more accurate and effective hormone therapies based on the gathered insights.",378,4,300,9,4,61,62,5.112903225806452,8,7.75,9,54,0,46,0,10.5,47.28,12.3,10.4,11.25,13.3,12.6,10.5
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a skilled information systems expert, my desire is to harness the power of FastText for efficiently organizing and segregating data within databases and other information management platforms. This will empower users to locate and access relevant information with greater ease and precision.

In this paraphrased version, the focus remains on utilizing FastText as an information systems professional to improve the classification and categorization of data for enhanced user experience in locating accurate and pertinent information within databases and other information systems.",584,7,490,5,0,82,82,6.121951219512195,3,27.333333333333332,5,77,0,56,0,18.7,9.93,11.73,21.1,18.16,18.72,18.2,20.666666666666668
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","As a music producer, my goal is to employ an encoder-decoder model to create tailored music suggestions for listeners, taking into account their past listening habits and preferences. This approach aims to enhance user involvement and contentment by offering personalized recommendations that resonate with each individual's unique musical tastes.",347,2,291,6,0,48,49,6.1020408163265305,2,24.5,6,47,0,45,0,16.4,21.23,13.23,19.6,17.7,19.6,0.0,18.75
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","- ""sociologist"" is replaced with ""social science researcher""
- ""phrase embeddings"" remains unchanged
- ""relationships between social phenomena"" becomes ""connections between various social occurrences""
- ""representation in social media"" becomes ""portrayal on social media platforms""
- ""public perceptions of social issues"" is expressed as ""public attitudes towards contemporary societal concerns""
- ""inform social theory and analysis"" is rephrased as ""guiding the development of more informed social theories and analyses.""",522,0,425,29,0,68,69,6.579710144927536,2,35.0,29,63,0,50,0,34.9,-43.24,15.53,44.0,22.76,35.99,0.0,51.5
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","1. The primary user is a social worker.
2. Stemming algorithms are used for analyzing social work case notes.
3. The objective is to identify related cases and understand clients' needs better.",193,3,149,7,3,31,32,5.0625,6,5.333333333333333,7,26,0,29,0,8.6,52.15,12.06,7.7,9.61,11.78,11.9,6.666666666666667
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","As a digital advertising specialist, I desire to employ advanced language techniques for the creation of algorithms that can dissect and interpret users' inclinations and predilections based on their interactions with content across various social media platforms. This analysis will enable me to devise more targeted and impactful social media marketing tactics that resonate with my audience and ultimately drive engagement and conversions.

In this paraphrased version, the focus remains on the user's role as a social media marketer who seeks to leverage information processing language for algorithm development purposes. The primary objective is to analyze user interests and preferences derived from social media data in order to enhance the effectiveness of marketing strategies on these platforms.",806,5,676,8,0,117,117,5.888888888888889,4,29.25,8,112,1,85,0,17.1,24.82,12.78,20.9,17.07,20.95,18.2,19.0
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","In this paraphrased version, we maintain the core elements of the original user story while rephrasing certain phrases for variety and clarity. The key components are still present",180,2,149,2,0,27,28,5.464285714285714,2,14.0,2,26,0,26,0,8.8,57.27,11.1,11.3,13.39,12.74,0.0,8.5
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","As an endocrinologist, I aim to apply the random subspace method in order to determine the leading factors significantly affecting the likelihood of developing diabetes.",169,2,141,2,0,24,25,5.8,1,25.0,2,23,1,22,0,17.8,12.26,13.09,18.4,16.19,21.2,0.0,19.5
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","As a music producer, it is essential for me to employ regularization methods in order to enhance the precision of my music recommendation algorithms. By doing so, I aim to effectively pair listeners with fresh and appealing tracks that align with their preferences and musical tastes.

In this paraphrased version, the focus remains on the usage of regularization techniques by a music producer to optimize music recommendation models for better listener engagement with new music tracks. The rephrasing maintains the core message while employing alternative word choices and sentence structures.",596,5,494,7,0,90,90,5.622222222222222,4,22.5,7,85,1,68,0,14.4,31.72,10.89,16.3,15.15,16.11,15.6,16.0
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As a demographer, I aim to utilize implicit feedback to improve my understanding of population migration patterns and uncover the factors that influence people's decisions to move between different locations. This knowledge will enable me to generate more accurate projections for future population trends and resource allocation across various regions.",353,3,297,4,0,49,50,6.08,2,25.0,4,47,1,45,0,17.8,12.26,12.77,19.7,17.82,21.2,0.0,20.5
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As a city architect, I desire to employ spiking neural network technology in order to conduct comprehensive analyses of demographic expansion, human relocation, and residential layouts. This will enable me to formulate well-considered judgments concerning the allocation of land, zoning regulations, and the planning of public facilities and infrastructure.

In this paraphrased version, the user story remains focused on using advanced neural networks for analyzing data related to population growth, migration, and housing patterns in order to make informed decisions about urban planning aspects such as land use, zoning, and infrastructure development. The key components of the original story have been maintained while rephrasing the sentences for a slightly different structure and choice of words.",805,5,670,15,0,115,115,6.0,4,28.75,15,110,1,87,0,18.1,16.86,12.62,21.2,17.36,19.17,17.1,18.25
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a marketing professional, my goal is to leverage query expansion techniques for uncovering emerging market trends and potential growth areas. By incorporating relevant associated terms and comprehensive market information into our searches, we aim to enhance our marketing tactics and optimize their effectiveness.

In this paraphrased version, the focus remains on utilizing query expansion as a tool for identifying new market trends and opportunities within the context of marketing strategies and performance improvement. The emphasis is placed on incorporating related keywords and market data into searches, with the ultimate objective being the optimization of marketing efforts.",689,4,580,8,0,97,97,6.103092783505154,4,24.25,8,93,0,68,0,17.5,12.97,12.0,19.4,17.93,18.79,18.0,18.875
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a network professional, my objective is to employ the FSS-SVM method for identifying the most significant network attributes within extensive volumes of traffic information. This will enable me to enhance both the efficiency and security of the network infrastructure.

In this paraphrased version, the user story highlights the importance of using FSS-SVM for a network engineer in order to optimize performance and improve security by focusing on the most informative network features from large datasets of traffic data.",526,15,425,7,0,79,79,5.658227848101266,3,26.333333333333332,7,74,2,55,0,15.9,27.86,11.54,18.4,15.32,17.61,16.3,18.5
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.",developing new insights into legal decision-making and informing policy decisions within the legal domain.,106,0,91,2,0,13,14,6.642857142857143,1,14.0,2,14,0,13,0,18.2,-10.42,14.48,16.8,19.83,19.89,0.0,12.0
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","1. The subject remains a radiologist.
2. The use of Random Forest models for predicting disease progression and treatment outcomes is emphasized.
3. The consideration of variables such as patient demographics, medical history, and imaging results is highlighted.
4. The overall objective remains the improvement of patient care and the informing of medical practice.",366,6,293,10,4,53,54,5.796296296296297,8,6.75,10,44,0,40,0,12.1,32.39,12.2,12.6,14.67,13.55,13.4,9.0
