Domain,Machine Learning Task,User Story,par solar,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","I, functioning as a film industry professional, seek keyword detection technology to extract distinctive topics and features from screenplays. This is aimed at fostering the creation of more captivating and profitable films.",224,2,187,4,0,31,32,6.03125,2,16.0,4,30,1,31,0,11.9,38.32,12.82,15.0,16.7,16.4,0.0,12.0
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","An individual working as a cinema researcher aims to employ dependency parsing for examining screenplays, with the ultimate goal of discerning typical storyline structures.",172,1,146,2,0,23,24,6.208333333333333,1,24.0,2,23,0,24,0,18.6,4.82,14.7,19.8,18.57,22.93,0.0,20.0
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","In terms of an academic perspective on literature, I as a researcher aim to incorporate representative algorithms for learning from textual sources. The goal is to detect noteworthy attributes correlated with literary acclaim. This information will subsequently empower the development of more effective literary interpretation methods and well-informed publication approaches.",377,4,319,5,0,49,50,6.56,3,16.666666666666668,5,46,1,46,0,15.7,12.22,12.99,17.8,19.89,21.08,17.5,14.666666666666666
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","An individual, specifically a specialist in computer vision studies, seeks to extract valuable information from visual data for the purpose of examining picture components and surrounding circumstances. This is carried out with the intent to contribute insights to the field of computer vision development and practical usage.",326,2,274,4,0,46,47,5.957446808510638,2,23.5,4,45,0,39,0,17.2,13.78,12.53,18.4,17.06,19.61,0.0,18.25
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","In order to enhance comprehension of political intricacies, as an individual specialized in political science, I aim to employ a sequential chain of classifiers for forecasting diverse political results. This prediction process encompasses a comprehensive consideration of the interplays between various factors including public sentiment and media exposure.",358,3,304,4,0,47,48,6.479166666666667,2,24.0,4,45,1,41,0,19.7,-3.65,13.05,21.1,20.14,23.77,0.0,21.5
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.",An exemplar of a welfare professional seeks applications of tree-structured algorithms for examining client statistics and discerning aspects that impact psychological well-being results.,187,1,161,3,0,22,23,7.173913043478261,1,23.0,3,22,0,22,0,19.3,-2.64,15.08,23.8,23.85,23.11,0.0,20.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","In terms of my role as a demographics specialist, it is essential to determine the discriminating threshold for a group division algorithm in order to examine developments within the demographic domain.",202,1,169,2,0,30,31,5.548387096774194,1,31.0,2,30,0,27,0,18.9,14.63,12.81,20.2,15.1,25.3,0.0,25.5
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","In terms of a persona as an investigator focusing on social networks, the aim is to implement part-of-speech labeling for examining the conversations among users with the ultimate goal of discerning typical communication patterns.",230,1,192,4,0,33,34,5.794117647058823,1,34.0,4,33,0,31,0,20.1,11.59,12.75,22.8,16.26,25.36,0.0,27.0
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","In terms of a computer vision expert's perspective, utilizing Support Vector Regression (SVR) is essential for anticipating the functionality of object detection and identification algorithms concerning attributes like hue, texture, and form. This is to enhance algorithm structure and subsequently boost precision levels.",322,8,264,8,0,42,43,6.511627906976744,2,21.5,8,37,1,39,0,16.4,15.81,14.98,20.0,19.43,21.62,0.0,17.75
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As a professional in psychology, there is a desire to employ graph mining for exploring societal connections, discerning influencing aspects on mental well-being, and ultimately devise advanced intervention strategies and therapeutic course of actions.",252,1,213,5,0,33,34,6.4411764705882355,1,34.0,5,33,0,32,0,22.5,-5.34,14.15,25.9,19.79,25.36,0.0,28.0
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","As an expert in infrastructure movement, I aim to derive compound phrases from online community sources dealing with mobility, for the purpose of interpreting and understanding traffic behaviors.",195,2,163,3,0,27,28,6.0,1,28.0,3,26,1,28,0,17.8,17.68,14.05,20.8,17.18,19.77,0.0,20.0
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","In order to enhance literacy and cultural awareness, as a person critically evaluating literature, I aim to employ value iteration for effectively distributing resources related to literature. This will result in an improved availability of literary materials.",260,3,217,4,0,36,37,6.054054054054054,2,18.5,4,34,1,34,0,17.6,1.94,12.24,16.3,17.23,20.37,0.0,15.75
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","A role holding information systems expert seeks a tool for extracting sentences. The aim is automatic pinpointing of significant data from customer responses, expediting the process of recognizing frequent problems and potential upgrades in applications to ultimately foster better user interactions.",300,2,255,3,0,40,41,6.341463414634147,2,20.5,3,39,1,38,0,17.2,8.37,14.28,18.7,19.09,19.91,0.0,16.25
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","In order to enhance communication with fellow mental health experts and patients, as a psychologist I seek a machine learning tool for selecting appropriate words in research articles and psychological evaluations, striving for higher precision, readability, and ultimately, greater impact on the intended audience.",315,2,264,6,0,43,44,6.181818181818182,1,44.0,6,42,1,39,0,25.2,-7.03,14.07,29.7,18.7,28.51,0.0,34.0
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","In terms of a heart specialist's perspective, the emphasis is on employing word error rates as a means to assess the precision of automatically transcribed medical case summaries and individual case documents. This is undertaken with an overarching aim of delivering more precise and fruitful therapies for patients under my care.",330,2,274,4,0,50,51,5.490196078431373,2,25.5,4,49,0,44,0,15.6,28.67,11.71,17.2,14.39,20.4,0.0,19.25
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","In terms of a healthcare practitioner's perspective, employing an individual class categorization is desirable to uncover irregular patterns in digital medical histories. The ultimate aim is to expose any possible occurrences of medical mistakes or deceptive activities.",270,2,228,4,0,36,37,6.324324324324325,2,18.5,4,35,0,32,0,17.6,1.94,13.09,17.6,18.8,23.62,0.0,17.75
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","In terms of a demographic specialist, the desire is to employ education on linear model concepts for forecasting population expansion and movement trends across multiple areas.",176,1,148,2,0,25,26,5.8076923076923075,1,26.0,2,25,0,26,0,17.0,19.71,14.04,18.9,16.25,21.17,0.0,20.0
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","A drug firm employs advanced language decoding to examine academic writings and locate feasible medication focal points concerning a specific health condition. By means of machine learning systems that have been educated to discern significant expressions and ideas associated with the disease, the company can swiftly single out noteworthy prospects for more in-depth investigation.",383,2,324,4,0,53,54,6.111111111111111,2,27.0,4,52,1,50,0,17.4,18.69,13.75,20.8,18.05,21.17,0.0,21.0
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","In terms of a network specialist's perspective, there is a need for accessing an authorized, machine learning-driven legal database. This system facilitates the exploration of privacy and security laws and regulations to uphold conformity and safeguard user information.",270,2,225,6,0,37,38,6.131578947368421,2,19.0,6,36,0,34,0,15.4,18.35,13.3,16.9,17.35,19.18,0.0,15.5
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","In terms of a reporter's perspective, I desire a quest for utilizing query-answering functionality to expeditiously gather data on current occurrences and emerging tendencies. This pursuit serves the purpose of enhancing my news presentation and narrative composition.",268,3,224,5,0,36,37,6.27027027027027,2,18.5,5,34,1,34,0,15.2,18.86,13.52,17.4,18.33,19.29,0.0,14.75
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As a professional examining population distributions, I aim to employ a rule finding approach for discovering influencing variables on the movement of populations, in order to enhance my grasp on demographic fluctuations.",221,2,185,3,0,31,32,5.9375,1,32.0,3,30,1,29,0,21.7,-3.31,13.12,22.5,17.18,24.05,0.0,25.0
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","A specialist in endocrine disorders seeks a prepared natural language processing tool for examination of healthcare studies and individual case files. The intention is to discern trends in hormonal measurements and reactions to medications, subsequently utilizing the insights for crafting enhanced, dependable hormone treatment regimens.",338,2,288,4,0,44,45,6.533333333333333,2,22.5,4,43,1,39,0,16.8,14.8,14.58,20.6,20.37,22.33,0.0,18.75
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a specialist in information systems, I aim to employ fasttext for database and system data classification and categorization purposes, facilitating enhanced user accessibility and precision in locating required information.",226,2,192,3,0,29,30,6.566666666666666,1,30.0,3,28,1,27,0,23.3,-18.2,14.6,24.5,20.84,24.0,0.0,25.0
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","I, as a music production professional, seek to implement an encoder-decoder system that tailors exclusive musical suggestions according to users' past listening patterns and preferences. The goal is to enhance user interaction and contentment through such personalized recommendations.",285,2,240,6,0,37,38,6.526315789473684,2,19.0,6,36,1,35,0,15.4,18.35,13.3,18.8,19.67,21.28,0.0,16.5
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","In the context of a social scientist's perspective, embedding phrases is sought for the purpose of examining interconnections between societal occurrences and their manifestations on digital platforms. The ultimate goal is to decipher people's perspectives regarding societal matters and guide future advancements in social theory and investigation.",349,2,296,5,0,46,47,6.446808510638298,2,23.5,5,45,0,38,0,18.4,5.32,13.2,20.7,19.79,23.02,0.0,20.25
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a professional in sociology, I seek stemming technologies for examining records on social assistance to discern interconnected instances. The purpose is to enhance comprehension and provide more efficient assistance to the individuals I serve.",246,4,205,3,0,34,35,6.057142857142857,2,17.5,3,31,2,30,0,14.8,19.87,12.17,15.9,17.05,17.29,0.0,13.75
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","I, representing a social media specialist, aim to implement advanced language techniques for extracting and processing data, with the goal of creating programs that discern users' inclinations and preferences from social networking sources. Ultimately, this will facilitate the creation of stronger and more successful tactics in the realm of social media promotion.",366,2,306,7,0,51,52,6.0576923076923075,2,26.0,7,50,1,43,0,15.8,28.17,12.82,20.1,17.35,20.4,0.0,19.5
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","In terms of a marketing perspective, the desire is to implement linear model education for forecasting individuals' actions and maximizing promotional endeavors' effectiveness.",176,1,149,4,0,22,23,6.695652173913044,1,23.0,4,22,0,23,0,20.5,-11.1,14.39,21.6,20.83,26.59,0.0,21.5
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","For a medical specialist in hormones, the aim is to employ the random subspace approach in order to discern the notably influential elements contributing to the likelihood of developing diabetes.",195,1,163,2,0,29,30,5.533333333333333,1,30.0,2,29,0,24,0,18.5,15.65,13.02,19.6,15.04,22.67,0.0,23.0
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","In pursuit of enhancing music suggestions' precision, as a music creator, I seek to integrate regularization strategies into my approach in order to more suitably pair users with novel audio content.",199,2,163,4,0,30,31,5.451612903225806,1,31.0,4,29,1,28,0,17.7,23.09,12.31,19.7,14.17,18.85,0.0,20.5
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As a professional analyzing populations, I desire to employ insights gained through indirect indications to unravel the complexities of population displacement and recognize key elements driving individuals' relocation decisions. This enhanced understanding will subsequently enable more precise estimations in predicting future demographic developments and facilitating wiser distribution of resources.",403,3,348,4,0,48,49,7.244897959183674,2,24.5,4,46,1,46,0,22.3,-21.08,15.16,24.9,24.54,27.76,0.0,23.25
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As a professional in city design, I am interested in employing spiking neural networks for examining information on expanding populations, movement shifts, and residential tendencies with the end goal of obtaining knowledge to guide choices regarding property utilization, district appointments, and foundation improvement.",323,2,273,6,0,42,43,6.534883720930233,1,43.0,6,41,1,41,0,26.0,-14.48,14.58,30.8,20.73,31.15,0.0,37.5
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a professional engaged in promoting products or services, my desire is to employ query expansion for uncovering emerging market fads and prospects. This is achieved by broadening the search to encompass associated terminology and statistical market information, with the end goal of enhancing marketing tactics and outcomes.",327,2,274,4,0,47,48,5.833333333333333,2,24.0,4,46,0,42,0,16.2,21.74,12.39,18.0,16.37,19.6,0.0,18.0
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a specialist in networking, I aim to employ FSS-SVM for extracting vital network characteristics from substantially sized collections of network activity information. The intention is to enhance network efficiency and ensure a more robust security system.",258,9,209,4,0,36,37,6.0,2,18.5,4,33,2,33,0,15.2,18.86,13.52,16.1,16.88,19.29,0.0,14.75
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","As a professional exploring law, I aim to employ inductive logic learning for extracting tendencies from legal scenarios, ultimately leading to enhanced understanding of judicial actions and guiding choices on legislative policies.",231,2,195,3,0,31,32,6.25,1,32.0,3,30,1,31,0,20.5,5.16,15.09,24.0,19.04,25.3,0.0,26.0
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","In terms of a radiologist's perspective, the user story highlights the desire to employ random forest algorithms for forecasting health condition developments and therapies' consequences. Factors considered encompass patient age, ethnicity, prior illnesses, and imaging data, ultimately aiming at enhancing healthcare standards and guiding medical profession practices.",369,2,312,9,0,46,47,6.872340425531915,2,23.5,9,45,0,44,0,18.4,5.32,15.22,22.7,21.76,23.02,0.0,19.75
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.","As a musical artist, I seek employing a feedforward neural network for forecasting the popularity of music and identifying preferred tastes among listeners from provided data. This is aimed at enhancing informed decision-making in creating future compositions.",260,3,217,4,0,36,37,6.054054054054054,2,18.5,4,34,1,36,0,15.2,18.86,13.09,16.3,17.23,20.37,0.0,15.25
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","As an academic specialist in politics, I aim to apply inverse reinforcement learning for examining the determinants of political actions taken by individuals as well as their voting habits. My ultimate goal is to enhance my grasp on evolving political patterns and subsequently improve forecasts.",296,3,246,3,0,44,45,5.6,2,22.5,3,42,1,40,0,15.6,23.26,12.12,16.2,15.09,17.89,0.0,16.75
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.","In terms of a sociological perspective, the desire is to incorporate early stopping for preventing model overfitting, as these models forecast social disparity and migration based on survey information.",202,1,170,3,0,28,29,6.0,1,29.0,3,28,0,29,0,19.3,8.2,13.24,21.3,17.53,22.63,0.0,22.5
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.","From the perspective of a marketing professional, there is a desire to incorporate artificial intelligence techniques, specifically machine learning, for the purpose of comprehensively examining customer information. The ultimate aim is to devise advertising initiatives that are more tailored and produce greater results in boosting product or service purchases.",363,2,308,5,0,48,49,6.428571428571429,2,24.5,5,47,0,43,0,17.6,12.77,12.59,21.1,19.73,21.23,0.0,19.25
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","To facilitate uncovering biases, combating false information, and encouraging moral journalism, as a professional scrutinizing news, I am inclined to employ GloVe for discerning linguistic patterns, sentiment dynamics, and subsequent interpretations within various news sources. This will assist in spotting instances of media manipulation and ultimately foster well-informed narratives in the news sphere.",406,5,340,9,0,52,53,6.679245283018868,2,26.5,9,49,1,48,0,19.5,2.28,14.48,23.3,20.77,24.94,0.0,22.75
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","As a creator of musical content, I am interested in employing an RNN (Recurrent Neural Network) framework to examine audience statistics longitudinally. The purpose is to extract insights into tendencies and arrangements in preference for melodies, ultimately leading to the development of more efficient music suggestions algorithms.",334,9,273,6,0,46,47,6.127659574468085,2,23.5,6,40,2,42,0,17.2,13.78,13.54,19.2,17.82,22.17,0.0,19.75
