Domain,Machine Learning Task,User Story,par gemma:2b,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As a computer vision researcher, I aim to employ Support Vector Regression (SVR) to develop robust algorithms for object detection and recognition. By analyzing visual features like color, texture, and shape, I aim to optimize the design and improve the accuracy of these algorithms.",283,10,222,8,0,43,44,5.454545454545454,2,22.0,8,36,3,37,0,14.2,32.22,12.26,15.2,13.29,16.98,0.0,16.0
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As a psychologist, I want to use graph mining techniques to analyze social network data and identify the factors that influence individuals' mental health, enabling me to develop more effective interventions and treatment plans.",228,2,189,4,0,33,34,5.735294117647059,1,34.0,4,32,1,31,0,20.1,11.59,14.15,22.6,15.91,23.01,0.0,25.0
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","As a transportation engineer, I want to identify and analyze multi-word phrases related to traffic on social media platforms to gain insights into traffic patterns and behavior.",177,2,146,3,0,26,27,5.592592592592593,1,27.0,3,25,1,23,0,17.4,18.69,12.58,18.4,14.8,18.21,0.0,20.5
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","As a literary critic, I aim to use value iteration to develop strategies that enhance the allocation of literary resources and promote accessibility for a broader audience, thereby fostering literacy and cultural understanding.",227,2,190,3,0,32,33,5.909090909090909,1,33.0,3,31,1,29,0,22.1,-4.33,13.41,22.9,17.07,25.32,0.0,27.5
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As an information systems analyst, I want to automate the process of identifying key information and common issues from user feedback, allowing me to quickly identify areas for improvement in software and enhance the user experience.",233,2,193,3,0,35,36,5.5,1,36.0,3,34,1,31,0,20.9,9.56,12.88,22.5,14.75,23.29,0.0,27.0
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","As a psychologist, I want to train a machine learning model to assist me in lexical choice, which will enhance the clarity and readability of my research papers and psychological reports.",187,2,152,3,0,30,31,5.064516129032258,1,31.0,3,29,1,28,0,16.6,31.55,11.29,17.9,12.14,18.85,0.0,20.5
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a cardiologist, I want to evaluate the accuracy of automated medical transcription by analyzing the rate of errors in the transcripts, so I can improve the quality of medical care I provide to my patients.",208,4,166,3,0,35,36,4.805555555555555,1,36.0,3,32,3,27,0,19.7,18.02,10.69,19.2,10.69,23.29,0.0,27.0
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","As a healthcare professional, I want to use a machine learning model to identify and flag potential medical errors or fraudulent activities in electronic health records.",169,2,140,2,0,25,26,5.538461538461538,1,26.0,2,24,1,24,0,15.8,28.17,12.21,17.7,14.68,21.17,0.0,20.0
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As a demographer, I want to use statistical models to predict population growth and migration patterns in different regions.",124,2,102,2,0,18,19,5.578947368421052,1,19.0,2,17,1,18,0,14.2,26.81,12.06,14.4,14.45,16.02,0.0,14.5
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","The pharmaceutical company is using natural language processing (NLP) to analyze scientific papers and identify potential drug targets for a specific disease. NLP algorithms are trained to recognize key phrases and concepts related to the disease, helping the company quickly identify promising targets for further research and development.",340,7,281,5,0,47,48,6.104166666666667,2,24.0,5,45,2,38,0,17.4,13.28,12.72,19.3,17.82,19.6,0.0,19.5
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","As a network engineer, I want to leverage a legal information retrieval system that utilizes machine learning to efficiently search and analyze laws and regulations related to data privacy and security. This system will empower me to stay compliant and safeguard sensitive user data.",283,3,234,3,0,43,44,5.454545454545454,2,22.0,3,41,1,36,0,15.4,23.77,12.26,15.2,13.98,17.89,0.0,16.5
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","As a journalist, I want to use AI-powered question answering to quickly find relevant information about recent news events and trends, enabling me to create impactful news coverage and reports.",193,4,156,4,0,29,30,5.466666666666667,1,30.0,4,27,1,26,0,16.2,32.57,12.49,19.3,14.23,20.0,0.0,21.0
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As a demographer, I want to develop a method to predict and analyze factors that influence migration patterns, thereby enabling me to gain a deeper understanding of population dynamics.",185,2,152,3,0,28,29,5.413793103448276,1,29.0,3,27,1,25,0,18.1,16.66,13.24,18.6,14.11,22.63,0.0,22.5
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","As an endocrinologist, I want to use a machine learning model to analyze medical data to identify patterns in hormone levels and treatment outcomes, and to use this information to develop more precise and effective hormone therapies.",233,2,192,3,0,36,37,5.324324324324325,1,37.0,3,35,1,29,0,20.1,17.0,12.73,22.1,13.7,23.45,0.0,26.5
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As an information systems professional, I want to leverage fasttext to analyze and classify information within databases and information systems, enabling users to efficiently access and identify relevant data.",210,2,177,3,0,28,29,6.275862068965517,1,29.0,3,27,1,23,0,20.5,-0.27,13.79,22.6,19.1,21.26,0.0,23.5
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","As a music producer, I want to create a system that analyzes user listening habits and preferences to generate customized music recommendations that will attract and retain listeners, ultimately enhancing engagement and satisfaction.",233,2,196,3,0,32,33,6.090909090909091,1,33.0,3,31,1,27,0,22.1,-4.33,13.89,23.8,18.11,27.75,0.0,28.5
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","As a sociologist, I aim to leverage phrase embeddings to explore the intricate connections between social phenomena and their representation in social media platforms. This analysis will enable me to gain deeper insights into public perceptions of social issues, ultimately guiding the development of more nuanced and comprehensive sociological theories and frameworks.",369,3,311,4,0,51,52,6.115384615384615,2,26.0,4,49,1,44,0,18.2,11.25,12.82,20.4,18.05,20.4,0.0,19.5
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a social worker, I want to use natural language processing algorithms to analyze social work case notes and identify similar cases, enabling me to gain deeper insights into the needs and challenges faced by my clients.",221,2,180,3,0,36,37,5.0,1,37.0,3,35,1,33,0,17.7,33.92,12.3,20.6,11.85,21.29,0.0,24.5
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","As a social media marketer, I want to create intelligent algorithms that analyze user data and identify their interests and preferences so I can develop strategies that attract and retain them better.",200,3,164,2,0,31,32,5.28125,1,32.0,2,29,2,28,0,18.1,22.08,13.12,19.4,13.59,21.55,0.0,23.0
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","As a marketer, I want to utilize machine learning models to forecast consumer behavior and optimize advertising campaigns in a data-driven manner.",146,2,120,3,0,21,22,5.681818181818182,1,22.0,3,20,1,20,0,14.2,32.22,13.34,16.3,14.91,14.25,0.0,14.0
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","As an endocrinologist, I want to use a statistical technique called random subspace method to identify the most significant factors that contribute to diabetes risk.",165,2,137,2,0,24,25,5.64,1,25.0,2,23,1,23,0,15.4,29.18,13.09,17.6,15.26,19.6,0.0,18.5
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","As a music producer, I want to use techniques that help improve the accuracy of my music recommendation models and match music recommendations more accurately with listeners.",174,2,144,2,0,26,27,5.481481481481482,1,27.0,2,25,1,25,0,17.4,18.69,9.65,17.9,14.39,19.69,0.0,19.5
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As a demographer, I want to learn from how people move to different areas by understanding the patterns and factors that influence their decisions, so I can make more accurate predictions about future population trends and resource allocation.",243,3,200,3,0,37,38,5.421052631578948,1,38.0,3,35,2,35,0,19.3,24.45,11.34,23.1,14.28,23.62,0.0,28.0
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As an urban planner, I want to use advanced AI to analyze population data, migration patterns, and housing trends to create better land use and development plans that are tailored to local needs.",195,4,155,4,0,32,33,4.9393939393939394,1,33.0,4,30,2,28,0,16.2,37.98,13.41,18.3,11.27,18.05,0.0,20.5
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a marketer, I want to explore potential market trends by incorporating related keywords and market data into search queries to identify and analyze emerging opportunities that can enhance marketing strategies and optimize campaign performance.",246,2,208,2,0,34,35,6.057142857142857,1,35.0,2,33,1,31,0,20.5,10.57,13.94,24.6,18.11,24.29,0.0,26.5
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a network engineer, I want to use a feature selection algorithm, such as FSS-SVM, to identify the most relevant network features from large datasets of network traffic data, so that I can improve network performance and enhance security.",240,9,187,6,0,38,39,5.17948717948718,1,39.0,6,35,3,32,0,18.5,31.89,11.64,22.5,12.49,21.75,0.0,26.5
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","As a legal researcher, I aim to leverage inductive logic to uncover recurring patterns and trends in legal cases. This knowledge will contribute to the development of innovative legal insights, enabling researchers to make informed and strategic decisions in legal policy and decision-making processes.",302,3,251,5,0,43,44,5.886363636363637,2,22.0,5,41,1,35,0,15.4,23.77,12.98,17.3,16.19,17.89,0.0,16.0
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","As a radiologist, I want to be able to use machine learning models to identify disease progression and treatment outcomes based on patient data, including demographics, medical history, and imaging results. This will help me to improve patient care and inform medical practice.",277,3,226,6,0,42,43,5.465116279069767,2,21.5,6,40,1,36,0,14.0,32.73,11.31,15.1,13.63,14.18,0.0,14.75
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.","As a musician, I want to train a machine learning model to predict the likelihood of a song being successful based on various musical data, enabling me to make informed decisions about music production and composition.",218,2,178,3,0,35,36,5.083333333333333,1,36.0,3,34,1,32,0,18.5,26.48,12.0,20.5,12.31,23.29,0.0,26.0
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","As a political scientist, I aim to utilize inverse reinforcement learning to analyze and identify the variables and factors that shape political decision-making and voting patterns, enabling me to gain insights into current political trends and make reliable predictions about future political outcomes.",303,2,255,4,0,42,43,6.069767441860465,1,43.0,4,41,1,35,0,24.8,-6.02,13.48,28.7,18.29,24.64,0.0,32.5
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.","As a sociologist, I want to use early stopping techniques to prevent models from overfitting and ensure their accuracy in predicting social inequality and mobility from survey data.",181,2,150,2,0,27,28,5.5,1,28.0,2,26,1,25,0,17.8,17.68,12.36,18.5,14.51,19.77,0.0,20.0
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.","As a marketer, I want to utilize machine learning to analyze customer data and generate personalized marketing campaigns that are optimized to generate higher sales.",165,2,137,2,0,24,25,5.64,1,25.0,2,23,1,22,0,15.4,29.18,12.46,17.6,15.26,18.0,0.0,18.5
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","As a news analyst using GloVe, I aim to explore and comprehend the language patterns and sentiments embedded in news media to identify potential biases, fake news, and other forms of media manipulation. This analysis helps me to make more informed and ethical news reporting decisions.",285,5,230,5,0,45,46,5.217391304347826,2,23.0,5,42,1,38,0,13.4,39.67,11.3,14.7,12.65,19.63,0.0,17.5
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","As a music producer, I want to leverage machine learning techniques, such as recurrent neural networks, to analyze and understand listener data over time. This will enable me to identify patterns and trends in music preferences and ultimately improve music recommendation systems.",280,3,231,5,0,41,42,5.690476190476191,2,21.0,5,39,1,35,0,13.8,33.24,11.45,15.9,15.03,16.02,0.0,15.0
