Domain,Machine Learning Task,User Story,par llama2,original_total_characters,llm_total_characters,original_uppercase_characters,llm_uppercase_characters,original_lowercase_characters,llm_lowercase_characters,original_special_characters,llm_special_characters,original_numbers,llm_numbers,original_blanks,llm_blanks,original_number_of_words,llm_number_of_words,original_average_length_of_words,llm_average_length_of_words,original_number_of_propositions,llm_number_of_propositions,original_average_length_of_propositions,llm_average_length_of_propositions,original_punctuation_characters,llm_punctuation_characters,original_lowercase_words,llm_lowercase_words,original_uppercase_words,llm_uppercase_words,original_vocabulary_richness,llm_vocabulary_richness,original_number_of_urls,llm_number_of_urls,original_flesch_kincaid_grade_level,llm_flesch_kincaid_grade_level,original_flesch_reading_ease,llm_flesch_reading_ease,original_dale_chall_readability,llm_dale_chall_readability,original_automated_readability_index,llm_automated_readability_index,original_coleman_liau_index,llm_coleman_liau_index,original_gunning_fog,llm_gunning_fog,original_smog_index,llm_smog_index,original_linsear_write_index,llm_linsear_write_index
Medicine,liquid state machine,"As a medical researcher, I want to use liquid state machines to analyze and predict the efficacy of drugs and treatments based on various factors, such as dosage, patient demographics, and disease progression, allowing for better decisions about drug development and clinical trials.","As a medical researcher, I aim to leverage liquid state machines to evaluate and forecast the effectiveness of medications and treatments under diverse conditions, including varying dosages, patient characteristics, and disease progression. This will enable more informed decisions about drug development and clinical trials.",283,325,2,3,233,273,6,6,0,0,42,43,43,44,5.604651162790698,6.409090909090909,1,2,43.0,22.0,6,6,41,41,1,1,38,40,0,0,22.4,15.4,10.91,23.77,14.22,14.06,26.4,19.8,15.33,19.09,26.5,18.8,0.0,0.0,31.5,16.5
Social Media,explicit semantic analysis,"As a social media analyst, I want to use explicit semantic analysis to identify sentiment and trends on social media platforms, so that I can improve social media engagement and better understand user behavior.","As an expert in social media analysis, I aim to utilize advanced semantic techniques to uncover emotions and patterns on various social media channels, thereby enhancing social media involvement and gaining a deeper understanding of user actions.",210,246,3,2,171,205,3,3,0,0,33,36,34,37,5.205882352941177,5.675675675675675,1,1,34.0,37.0,3,3,31,35,2,1,27,31,0,0,18.9,21.3,20.05,8.54,11.36,14.43,20.1,23.8,13.01,15.73,23.01,22.37,0.0,0.0,26.0,25.5
Cardiology,elman network,"As a cardiologist, I want to use Elman networks to predict which patients are most at risk of developing heart disease based on their medical history, lifestyle factors, and genetic information. I also want to use Elman networks to model the progression of heart disease and predict the effectiveness of different treatments.","As a medical professional, I aim to leverage Elman networks to identify patients who are most likely to experience cardiovascular issues due to their health history, lifestyle factors, and genetic makeup. Additionally, I hope to use Elman networks to simulate the progression of heart disease and evaluate the efficacy of various treatments.",325,341,5,6,264,278,5,6,0,0,51,51,52,52,5.269230769230769,5.576923076923077,2,2,26.0,26.0,5,6,47,46,2,2,37,41,0,0,14.6,17.0,36.63,19.71,10.39,11.61,16.4,17.9,13.0,14.68,15.78,19.63,0.0,0.0,17.5,19.5
Transportation,computational linguistics,"As a transportation analyst, I want to use computational linguistics to analyze social media data and understand how people are discussing transportation issues in different regions.","As an analytics professional, I aim to leverage natural language processing techniques to examine social media posts related to transportation across diverse areas, thereby gaining insights into public perceptions and conversations surrounding transportation issues.",182,266,2,2,153,228,2,3,0,0,25,33,26,34,6.038461538461538,6.852941176470588,1,1,26.0,34.0,2,3,24,32,1,1,24,31,0,0,18.2,22.5,11.25,-5.34,11.61,15.08,20.0,27.8,17.58,22.52,18.09,25.36,0.0,0.0,21.0,28.0
Radiology,supervised deep networks,"As a radiologist, I want to use supervised deep networks to detect and classify anomalies in medical images such as tumors and fractures.","As a medical imaging expert, I aim to leverage advanced machine learning techniques, specifically deep neural networks, to identify and categorize abnormalities in medical images like tumors and fractures.",137,205,2,2,111,171,2,4,0,0,22,28,23,29,5.0,6.103448275862069,1,1,23.0,29.0,2,4,21,27,1,1,20,26,0,0,13.4,19.3,39.67,8.2,11.64,13.79,13.6,21.8,11.49,17.94,16.16,18.5,0.0,0.0,15.5,20.5
Economics,elbot,"As an economist, I want to use Elbot to analyze and forecast economic trends and outcomes, in order to inform economic policy decisions.","As a knowledge seeker, I desire to utilize Elbot to examine and predict economic patterns and results, with the goal of formulating informed economic choices.",136,158,3,3,108,128,3,3,0,0,22,24,23,25,4.956521739130435,5.36,1,1,23.0,25.0,3,3,20,22,1,1,19,22,0,0,13.4,15.4,39.67,29.18,11.64,12.46,13.4,16.3,11.03,13.41,17.9,14.8,0.0,0.0,17.5,16.5
Sociology,lifelong machine learning,"As a sociologist, I want to use lifelong machine learning to continuously improve my sociological models and theories and adapt them to changing social trends and patterns, in order to provide more accurate and insightful analysis of social phenomena and trends for use in social science research and other applications.","As a sociologist, I aim to leverage the power of machine learning to continually refine and enhance my understanding of social structures and behaviors. By embracing lifelong learning, I can adapt my models and theories to accommodate new data and trends, ensuring that my analysis remains accurate and insightful in an ever-changing societal landscape. This enables me to provide valuable insights for research and other applications in the social sciences.",320,458,2,5,266,377,3,7,0,0,49,69,50,70,5.42,5.557142857142857,1,3,50.0,23.333333333333332,3,7,48,65,1,2,37,55,0,0,25.2,14.7,3.81,30.91,12.43,12.01,29.1,16.4,14.7,14.68,27.2,16.75,0.0,15.5,34.0,16.333333333333332
Transportation,cnn,"As a transportation engineer, I want to use CNNs to classify different types of traffic patterns based on traffic camera footage, so that I can better understand traffic flows and develop targeted traffic management strategies.","As an AI expert, I aim to leverage CNNs to categorize diverse traffic patterns by analyzing footage from traffic cameras. This enables me to gain a deeper comprehension of traffic flows and create more effective traffic management plans tailored to specific situations.",227,269,6,8,184,217,3,3,0,0,34,41,35,42,5.514285714285714,5.428571428571429,1,2,35.0,21.0,3,3,31,37,2,2,30,36,0,0,18.1,12.7,27.49,41.7,11.69,12.95,22.0,14.6,14.81,13.81,19.71,15.07,0.0,0.0,25.5,14.0
Biology,speech synthesis,"A team of bioacoustics researchers is using speech synthesis technology to study the vocalizations of non-human animals, such as birds and whales. The machine learning algorithms are trained to synthesize animal sounds, allowing the researchers to better understand the acoustic communication systems of different species.","A group of scientists is utilizing speech generation technology to investigate the vocalizations of creatures outside of humans, like birds and whales. The machine learning algorithms are being trained to produce animal sounds, enabling the researchers to gain a deeper comprehension of the acoustic communication systems of various species.",322,341,2,2,271,287,5,4,0,0,44,48,45,49,6.177777777777778,5.979591836734694,2,2,22.5,24.5,5,4,43,47,1,1,37,39,0,0,14.4,15.2,31.72,29.69,12.12,12.59,18.9,19.0,18.22,17.24,17.0,17.96,0.0,0.0,17.75,17.75
Psychology,pattern recognition,"As a psychologist, I want to use pattern recognition to identify patterns in patient behavior data and predict patient outcomes to inform treatment plans.","As an AI-powered psychologist, I can analyze complex patterns in patient behavioral data and forecast potential treatment outcomes to create more personalized and effective treatment plans.",154,189,2,4,127,157,2,3,0,0,23,25,24,26,5.458333333333333,6.3076923076923075,1,1,24.0,26.0,2,3,22,23,1,1,21,24,0,0,15.0,17.0,30.2,19.71,13.38,15.25,16.3,21.3,14.22,18.92,16.27,19.63,0.0,0.0,16.0,19.0
Social Media,tokenization,"As a social media marketer, I want to tokenize user comments to understand sentiment towards a product.","As an analyst of online interactions, I seek to dissect user feedback into distinct components to gauge the overall opinion regarding a good or service.",103,152,2,2,83,124,2,2,0,0,16,24,17,25,5.117647058823529,5.12,1,1,17.0,25.0,2,2,15,23,1,1,15,24,0,0,12.3,14.2,37.3,37.64,11.91,12.46,11.2,15.2,11.42,12.25,11.51,16.4,0.0,0.0,11.5,16.5
Political Science,feature extraction,"As a political scientist, I want to use feature extraction to identify and extract meaningful features from political data, such as voting patterns and political affiliation, so that we can better understand and analyze political systems.","As an analyst, I aim to leverage feature extraction techniques on political data to isolate relevant characteristics, such as voting trends and political leanings. This enables us to gain a deeper comprehension of political systems and make more informed decisions.",238,265,2,3,197,219,4,4,0,0,35,39,36,40,5.638888888888889,5.65,1,2,36.0,20.0,4,4,34,37,1,1,29,34,0,0,22.1,14.6,1.1,25.8,11.56,12.13,23.1,15.2,15.39,14.91,22.18,15.0,0.0,0.0,29.0,14.5
Library,multinomial logistic regression,"As a librarian, I want to use multinomial logistic regression to predict user preferences and needs based on library usage data and user characteristics to enhance access and discovery for library users.","As an information professional, I aim to leverage multinomial logistic regression to forecast the reading habits and requirements of patrons by examining library utilization data as well as individual traits. This will enable me to improve user experiences and amplify the discovery of relevant resources within the library.",203,324,2,3,168,271,2,3,0,0,31,47,32,48,5.375,5.770833333333333,1,2,32.0,24.0,2,3,30,45,1,1,26,40,0,0,18.1,16.2,22.08,21.74,13.12,12.39,19.9,17.7,14.11,16.13,21.55,20.43,0.0,0.0,23.0,18.5
Social Networks,recurrent network,"As a social network, I want to use a recurrent network to predict user connections and social network dynamics, based on historical data and social network interactions, so that I can improve the social network experience for my users.","As an AI-powered social network, I aim to leverage recurrent neural networks (RNNs) to forecast user connections and dynamics within the social network. By analyzing historical data and user interactions, I can enhance the overall social networking experience for my users.",235,273,3,9,190,217,4,7,0,0,38,40,39,41,5.051282051282051,5.682926829268292,1,2,39.0,20.5,4,7,36,35,2,2,29,34,0,0,19.7,14.8,23.43,25.29,10.83,13.51,21.9,15.6,12.02,14.68,21.75,16.0,0.0,0.0,25.5,14.25
Movies,keyword spotting,"As a movie producer, I want to use keyword spotting to identify specific themes and elements in movie scripts, so that I can develop more engaging and successful movies.","As an entertainment industry professional, I aim to leverage cutting-edge technology to analyze and identify prominent themes and elements within movie scripts. By doing so, I can create more captivating and profitable films that resonate with audiences.",169,254,3,4,135,209,3,5,0,0,28,36,29,37,4.862068965517241,5.891891891891892,1,2,29.0,18.5,3,5,26,33,2,2,25,33,0,0,14.6,12.9,42.04,35.78,11.06,12.66,16.0,15.6,10.92,16.13,21.26,18.21,0.0,0.0,21.5,14.25
Movies,dependency parsing,"As a film analyst, I want to use dependency parsing to analyze movie scripts and identify narrative patterns.","As an expert in cinematic storytelling, I aim to employ dependency parsing to examine screenplays and uncover common plot structures.",109,133,2,2,88,110,2,2,0,0,17,19,18,20,5.111111111111111,5.7,1,1,18.0,20.0,2,2,16,18,1,1,17,19,0,0,11.5,14.6,44.75,25.8,11.55,14.1,11.6,15.4,11.42,15.2,18.31,18.0,0.0,0.0,14.0,15.0
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","To better understand and analyze literature, a literary scholar seeks to utilize machine learning techniques to uncover patterns and characteristics that contribute to the success of written works. By identifying these key features, the scholar hopes to create more effective tools for literary analysis and publishing strategies that can help authors reach their target audience.",232,380,2,2,192,320,3,4,0,0,35,54,36,55,5.472222222222222,5.927272727272728,1,2,36.0,27.5,3,4,34,53,1,0,30,45,0,0,19.7,16.4,18.02,26.64,12.0,12.46,22.3,20.3,14.57,16.95,22.18,19.0,0.0,0.0,28.0,20.25
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.",You wish to extract valuable insights from image data using mining techniques to support computer vision research and applications.,147,131,2,1,120,111,2,1,0,0,23,18,24,19,5.166666666666667,5.947368421052632,1,1,24.0,19.0,2,1,22,18,1,0,18,18,0,0,15.0,13.1,30.2,35.27,12.06,14.55,14.9,16.1,12.48,16.88,14.6,11.81,0.0,0.0,16.0,11.5
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","As an expert in politics, I aim to employ a sophisticated chain of classifiers to forecast various political outcomes by considering the complex interplay between multiple variables, including public sentiment and media coverage. This will allow me to gain a deeper comprehension of the intricate political landscape.",266,317,3,3,218,264,5,4,0,0,40,46,41,47,5.512195121951219,5.76595744680851,1,2,41.0,23.5,5,4,38,44,2,1,35,41,0,0,22.8,17.2,4.48,13.78,10.68,12.19,25.0,17.5,14.87,15.96,23.23,20.46,0.0,0.0,31.5,18.75
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","As an social worker, I wish to employ three statistical models to scrutinize patient information and pinpoint variables that have a profound impact on mental well-being outcomes.",133,178,2,2,108,147,2,3,0,0,21,26,22,27,5.090909090909091,5.62962962962963,1,1,22.0,27.0,2,3,20,25,1,1,21,26,0,0,13.1,16.2,40.69,27.15,11.9,12.58,13.5,18.6,11.72,15.03,16.07,15.24,0.0,0.0,15.0,17.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As an analyst, I require a dividing line to separate a population into distinct segments based on their demographic characteristics. This will enable me to study patterns and changes within each segment, providing valuable insights into the population's behavior and trends.",125,274,2,3,103,226,2,5,0,0,18,40,19,41,5.631578947368421,5.7073170731707314,1,2,19.0,20.5,2,5,17,38,1,1,17,37,0,0,16.6,13.6,9.89,33.75,12.89,11.97,14.6,15.7,14.79,15.14,22.34,16.0,0.0,0.0,16.5,14.75
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As an investigator of social networks, I aim to employ part-of-speech tagging to scrutinize the messages dispatched between users to uncover trends in their interactions.",151,170,2,2,124,140,4,4,0,0,21,24,22,25,5.909090909090909,5.84,1,1,22.0,25.0,4,4,20,23,1,1,20,23,0,0,14.2,15.4,32.22,29.18,12.62,12.46,17.4,18.6,15.95,15.96,14.25,16.4,0.0,0.0,14.0,16.5
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As a computer vision expert, I aim to utilize Support Vector Regression (SVR) to forecast the efficiency of object detection and recognition algorithms based on distinct visual aspects, including color, texture, and form. By doing so, I can refine algorithm design and enhance accuracy.",281,286,9,10,223,224,6,9,0,0,43,43,44,44,5.409090909090909,5.5227272727272725,1,2,44.0,22.0,6,9,37,36,3,3,39,40,0,0,22.8,14.2,9.9,32.22,13.71,14.06,26.1,15.6,14.17,13.58,26.69,16.98,0.0,0.0,32.0,15.5
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As a mental health professional, I seek to leverage graph mining techniques to examine social networks and pinpoint factors influencing mental well-being. This information will enable me to create more effective interventions and treatment plans tailored to the needs of my patients.",199,283,3,3,162,235,3,4,0,0,31,41,32,42,5.25,5.761904761904762,1,2,32.0,21.0,3,4,29,39,2,1,27,37,0,0,17.0,13.8,30.54,33.24,12.63,12.95,19.3,16.2,13.24,15.61,21.55,14.11,0.0,0.0,23.0,14.0
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","As a transportation engineer, I desire to obtain specific phrases or words from social media posts that are relevant to traffic flow in order to assess and predict traffic patterns.",140,181,2,2,116,148,2,2,0,0,20,29,21,30,5.714285714285714,5.066666666666666,1,1,21.0,30.0,2,2,19,28,1,1,18,27,0,0,15.0,15.0,24.78,41.03,12.95,11.97,16.0,17.4,15.32,12.31,17.92,16.0,0.0,0.0,16.5,19.0
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","As a literary enthusiast, I seek to employ value iteration to enhance the distribution of literary assets and expand access to written works, thereby fostering a more informed and cultured society.",188,197,2,2,154,162,3,3,0,0,29,30,30,31,5.3,5.387096774193548,1,1,30.0,31.0,3,3,28,29,1,1,24,26,0,0,19.7,18.9,7.19,14.63,11.44,12.81,18.5,19.5,13.47,13.99,22.67,20.14,0.0,0.0,24.0,22.5
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As an IS analyst, I need a tool that can automatically extract significant phrases or sentences from user feedback to quickly identify frequent problems and potential improvements in software. This will allow me to prioritize issues and make informed decisions to enhance user experience.",231,288,2,5,193,237,3,3,0,0,33,43,34,44,5.823529411764706,5.568181818181818,1,2,34.0,22.0,3,3,32,40,1,2,28,40,0,0,21.3,15.4,3.13,23.77,12.29,11.9,23.0,15.8,16.6,14.62,21.84,16.98,0.0,0.0,26.0,15.5
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","A psychologist seeks to leverage a machine learning tool to enhance the clarity and precision of their academic writings and patient communications. By doing so, they aim to improve the overall quality of their work and facilitate more effective exchange of ideas with colleagues and clients.",262,292,3,2,215,242,3,3,0,0,41,45,42,46,5.261904761904762,5.369565217391305,1,2,42.0,23.0,3,3,39,44,2,1,35,36,0,0,22.0,13.4,11.93,39.67,11.36,11.3,24.3,15.4,13.71,13.76,23.47,16.16,0.0,0.0,28.0,15.5
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a medical professional, I seek to utilize word error rate as a tool to assess the precision of automated transcriptions of patient records and medical reports, allowing me to offer more precise and beneficial treatment options for my patients.",216,246,3,2,175,202,3,3,0,0,35,39,36,40,5.027777777777778,5.175,1,1,36.0,40.0,3,3,33,38,2,1,32,33,0,0,18.5,20.1,26.48,22.42,12.0,12.33,20.3,23.0,11.96,12.89,23.29,23.0,0.0,0.0,26.0,28.0
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.",A healthcare expert seeks to employ one-class classification techniques to spot unusual patterns in electronic health records (EHRs) in order to identify potential medical mistakes or deception.,185,194,3,4,151,160,4,4,0,0,27,26,28,27,5.642857142857143,6.222222222222222,1,1,28.0,27.0,4,4,25,25,2,1,26,24,0,0,16.6,17.4,26.14,18.69,12.36,14.33,19.1,21.4,14.92,18.22,21.2,21.17,0.0,0.0,21.0,20.5
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As an analyst, I aim to leverage knowledge of linear regression to foresee population expansion and migration tendencies across various areas.",128,142,2,2,105,118,2,2,0,0,19,20,20,21,5.45,5.809523809523809,1,1,20.0,21.0,2,2,18,19,1,1,19,20,0,0,13.5,16.2,34.26,16.32,12.52,13.7,14.2,16.4,13.75,15.84,14.0,21.73,0.0,0.0,14.0,17.5
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","A pharmaceutical corporation is utilizing natural language processing to scrutinize scientific literature and find prospective drug targets for a particular disease. Sophisticated machine learning algorithms are being taught to recognize crucial phrases and concepts linked to the sickness, enabling the company to promptly identify promising candidates worth additional investigation.",336,385,2,2,284,332,3,3,0,0,47,48,48,49,6.020833333333333,6.877551020408164,2,2,24.0,24.5,3,3,46,47,1,1,37,43,0,0,17.4,19.9,13.28,-4.16,12.06,13.87,18.9,23.2,17.58,22.57,19.6,22.86,0.0,0.0,19.5,20.75
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","As an IT professional, I need a cutting-edge legal information retrieval system that harnesses machine learning to quickly locate and examine rules and laws regarding data privacy and security. By doing this, I can guarantee compliance and defend sensitive user information.",237,274,3,6,192,223,3,5,0,0,39,40,40,41,4.95,5.7073170731707314,1,2,40.0,20.5,3,5,37,36,2,3,33,37,0,0,21.3,14.8,13.96,25.29,12.33,12.36,21.9,15.7,11.62,15.14,23.0,17.96,0.0,0.0,28.0,15.75
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","As an information seeker, I desire a question-answering tool that can expedite the process of uncovering relevant details about current events and popular topics, so I can provide insightful reports as a journalist.",158,215,2,3,127,176,3,4,0,0,26,32,27,33,4.888888888888889,5.545454545454546,1,1,27.0,33.0,3,4,25,30,1,2,23,29,0,0,13.8,18.5,44.07,21.06,9.65,12.93,15.1,21.2,10.74,14.75,18.21,22.9,0.0,0.0,18.5,24.5
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As an expert in demography, I seek to employ rule induction to uncover the underlying factors that shape migration trends, thereby enhancing my comprehension of population movements.",158,182,3,2,128,151,3,3,0,0,24,26,25,27,5.36,5.777777777777778,1,1,25.0,27.0,3,3,22,25,2,1,22,26,0,0,15.4,17.4,29.18,18.69,10.56,13.16,16.3,19.3,13.41,15.9,21.2,22.65,0.0,0.0,20.5,21.5
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","As a specialist in endocrinology, I seek to leverage advanced natural language processing techniques by utilizing pre-trained language models to analyze medical literature and patient data. My goal is to identify patterns in hormone levels and treatment outcomes, which will enable me to create more personalized and effective hormone therapies for my patients.",264,361,2,3,218,301,5,5,0,0,39,52,40,53,5.625,5.830188679245283,1,2,40.0,26.5,5,5,38,50,1,1,31,44,0,0,21.3,16.0,13.96,27.66,13.52,13.29,25.1,19.3,15.21,16.31,26.0,19.66,0.0,0.0,30.0,19.25
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a knowledge management expert, I desire utilizing FastText to efficiently organize and group data within databases and information systems, allowing users to locate relevant information with greater precision and speed.",202,222,2,4,168,185,3,3,0,0,29,30,30,31,5.766666666666667,6.193548387096774,1,1,30.0,31.0,3,3,28,28,1,1,24,27,0,0,19.7,20.1,7.19,6.17,10.39,14.34,20.7,23.2,16.2,18.69,20.0,22.72,0.0,0.0,24.0,24.5
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","To create personalized music recommendations for listeners based on their past listening habits and preferences, a music producer can use an encoder-decoder model. This approach allows the producer to improve user engagement and satisfaction by providing tailored content that meets each listener's unique tastes.",234,313,2,2,195,263,4,5,0,0,33,43,34,44,5.911764705882353,6.136363636363637,1,2,34.0,22.0,4,5,32,42,1,0,30,40,0,0,21.3,15.4,3.13,23.77,12.75,13.34,23.4,18.5,16.89,17.64,26.54,17.89,0.0,0.0,29.0,17.0
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","As an expert in sociology, I aim to leverage cutting-edge techniques like phrase embeddings to uncover intricate patterns in how people perceive and discuss various social phenomena on social media. By analyzing these trends, I hope to gain a deeper comprehension of the public's viewpoints on pressing issues and contribute to the advancement of sociological theories and analyses.",240,382,2,4,201,315,2,6,0,0,35,57,36,58,5.694444444444445,5.603448275862069,1,2,36.0,29.0,2,6,34,54,1,2,29,47,0,0,22.1,17.0,1.1,25.12,11.56,12.7,23.4,19.4,16.02,15.21,24.4,19.88,0.0,0.0,28.0,20.5
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a social worker, I aim to utilize advanced natural language processing techniques to review and analyze case notes pertaining to individuals I support, in order to uncover patterns and connections among cases. This will enable me to provide more effective and personalized services to my clients by gaining a deeper understanding of their unique situations and requirements.",184,377,3,4,146,312,3,4,0,0,32,57,33,58,4.606060606060606,5.517241379310345,1,2,33.0,29.0,3,4,30,54,2,2,29,48,0,0,15.0,17.0,46.44,25.12,10.06,12.43,16.8,19.1,9.53,14.92,18.05,19.88,0.0,0.0,21.5,20.5
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","To better understand user preferences and interests gleaned from social media data, I aim to create sophisticated algorithms using information processing language. By doing so, I can craft more targeted and successful social media marketing campaigns.",234,251,2,4,195,208,3,4,0,0,34,35,35,36,5.714285714285714,6.0,1,2,35.0,18.0,3,4,33,32,1,2,28,31,0,0,21.7,15.0,2.11,19.37,12.14,12.86,23.0,15.8,15.97,16.59,24.29,17.2,0.0,0.0,27.5,14.0
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","As an advertising strategist, I desire to leverage machine learning techniques, specifically linear models, to forecast consumer actions and maximize the effectiveness of my marketing initiatives.",116,196,2,2,95,165,2,4,0,0,17,25,18,26,5.5,6.576923076923077,1,1,18.0,26.0,2,4,16,24,1,1,17,25,0,0,12.7,18.2,36.28,11.25,13.3,14.04,13.5,22.6,13.69,20.25,13.87,19.63,0.0,0.0,12.0,19.0
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","As a healthcare professional specializing in endocrinology, I aim to leverage the random subspace method to uncover the key factors that significantly contribute to an individual's likelihood of developing diabetes.",131,215,2,2,107,181,2,3,0,0,20,29,21,30,5.285714285714286,6.2,1,1,21.0,30.0,2,3,19,28,1,1,19,27,0,0,12.7,20.9,41.7,-1.28,12.2,13.55,14.0,22.8,12.82,18.69,16.02,25.33,0.0,0.0,14.5,25.0
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","To enhance the accuracy of my music recommendation models and provide more tailored suggestions for listeners, I aim to apply regularization techniques.",161,152,2,2,132,127,2,2,0,0,25,21,26,22,5.230769230769231,5.954545454545454,1,1,26.0,22.0,2,2,24,20,1,1,24,21,0,0,15.8,16.6,28.17,15.31,9.18,12.62,16.2,17.6,12.89,16.71,18.09,17.89,0.0,0.0,18.0,16.0
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","To gain a deeper understanding of population migration patterns and their underlying factors, a demographer seeks to leverage learning from implicit feedback. By doing so, the demographer can improve the accuracy of future population projections and optimize resource allocation.",277,279,2,2,233,235,3,4,0,0,39,38,40,39,5.95,6.17948717948718,1,2,40.0,19.5,3,4,38,37,1,0,35,32,0,0,23.6,16.8,-2.97,9.38,12.73,12.7,26.6,17.4,17.42,17.98,26.0,18.06,0.0,0.0,33.0,15.75
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As an urban planner, I aim to leverage cutting-edge artificial intelligence techniques, specifically spiking neural networks, to process and analyze vast amounts of data related to population dynamics, migration patterns, and housing developments. By doing so, I can make more strategic decisions about city planning, including how to allocate land for various uses, establish optimal zoning regulations, and invest in infrastructure development that meets the needs of the growing population.",222,493,3,4,179,408,6,12,0,0,34,69,35,70,5.371428571428571,6.057142857142857,1,2,35.0,35.0,6,12,32,66,2,2,32,62,0,0,18.1,20.5,27.49,10.57,13.04,14.4,21.4,24.6,13.47,17.47,20.86,24.29,0.0,0.0,23.5,27.0
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As an marketer, I aim to broaden my search queries to detect new market tendencies and chances by incorporating relevant keywords and market statistics. This will enhance my marketing initiatives and output.",219,207,2,3,180,170,3,3,0,0,34,31,35,32,5.285714285714286,5.5,1,2,35.0,16.0,3,3,33,29,1,1,29,27,0,0,18.1,10.7,27.49,46.78,11.69,11.34,21.0,12.5,13.47,13.8,22.0,13.9,0.0,0.0,24.5,11.0
