Domain,Machine Learning Task,User Story,par llama3,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As a computer vision researcher, I want to leverage Support Vector Regression (SVR) to forecast algorithm performance in object detection and recognition tasks based on characteristics like hue, pattern, and form, allowing me to refine algorithm development and enhance precision.",280,8,226,7,0,39,40,6.025,1,40.0,7,34,2,35,0,22.4,5.5,15.09,27.0,17.24,26.0,0.0,31.0
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As a psychologist, I aim to leverage graph analysis to explore social network patterns and pinpoint key influences on mental well-being, ultimately informing evidence-based strategies for enhanced intervention and care planning.",228,2,191,5,0,30,31,6.387096774193548,1,31.0,5,29,1,29,0,20.1,6.17,14.85,24.2,19.45,21.43,0.0,23.5
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","""As a transportation engineer, I need to identify patterns in social media conversations about traffic to inform my analysis of traffic flows.""",143,2,116,4,0,21,22,5.545454545454546,2,11.5,4,20,1,20,0,14.2,32.22,11.9,15.7,13.81,16.07,0.0,16.0
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","""I'm a literary expert seeking to streamline resource distribution using an optimization technique, with the goal of enhancing literature accessibility and fostering literacy and cross-cultural comprehension.""",209,1,177,6,0,25,26,7.076923076923077,2,13.5,6,25,0,25,0,21.7,-14.14,14.64,24.9,22.75,25.78,0.0,23.0
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As a tech expert, I need a tool that can efficiently extract important details from user comments to swiftly pinpoint recurring problems and opportunities for enhancement in software applications, ultimately improving users' overall experience.",244,2,205,4,0,33,34,6.205882352941177,1,34.0,4,32,1,33,0,21.3,3.13,14.61,24.8,18.63,23.01,0.0,26.0
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","""As a psychologist, I'd like to leverage AI-powered tools for linguistic enhancement in order to boost the precision and clarity of my scholarly writings, thereby facilitating effective communication with peers and clients.""",224,4,182,7,0,31,32,6.03125,2,16.5,7,29,0,30,0,19.3,13.62,14.11,23.0,17.01,24.05,0.0,25.0
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a cardiologist, I need an objective measure to assess the reliability of automated medical report transcriptions, ensuring precise diagnoses and treatments for better patient care.",183,2,153,3,0,25,26,6.076923076923077,1,26.0,3,24,1,26,0,19.3,2.79,12.21,20.2,17.58,22.71,0.0,21.0
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","As a healthcare professional, I need to leverage machine learning techniques to pinpoint unusual patterns in electronic health records, enabling me to quickly spot and address possible medical mistakes or fraudulent activities.",227,2,191,3,0,31,32,6.125,1,32.0,3,30,1,30,0,18.1,22.08,12.63,23.4,18.29,20.3,0.0,23.0
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As a demographer, I need to apply linear modeling techniques to forecast regional population dynamics and migration trends.",123,2,102,2,0,17,18,5.888888888888889,1,18.0,2,16,1,17,0,15.0,19.37,14.18,15.3,15.95,20.53,0.0,15.0
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","A pharmaceutical firm employs AI-powered NLP to process medical research papers and pinpoint potential drug candidates linked to a specific condition. The machine learning models are designed to detect relevant phrases and concepts, enabling swift discovery of promising leads for in-depth investigation.",304,7,251,5,0,41,42,6.261904761904762,2,21.0,5,38,2,38,0,15.0,24.78,15.96,18.6,18.33,16.97,0.0,15.0
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","As a network engineer, I want to leverage AI-driven legal research tools to quickly find and interpret relevant laws and regulations regarding data protection, allowing me to maintain compliance and safeguard sensitive information.",231,4,191,4,0,32,33,6.03030303030303,1,33.0,4,30,1,29,0,19.7,12.6,14.36,23.5,17.59,24.11,0.0,26.5
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","A reporter seeks to leverage question answering technology to efficiently gather insights on current events and developments, thereby enhancing the accuracy and timeliness of their news stories.",194,1,165,2,0,26,27,6.222222222222222,1,27.0,2,26,1,25,0,18.5,10.23,13.16,21.4,18.69,21.17,0.0,20.5
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","""As a demographer, I need to apply machine learning techniques to discover key drivers of migration trends, allowing me to gain insights into population growth and movement.""",174,2,141,5,0,26,27,5.481481481481482,2,14.0,5,25,1,25,0,15.0,35.61,11.99,17.9,13.76,16.73,0.0,18.5
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","As an endocrinologist, I want to leverage AI-driven insights from pre-trained models to extract valuable trends and correlations from medical literature and patient records, ultimately informing the creation of more precise and successful hormone treatment regimens.",266,4,222,5,0,35,36,6.416666666666667,1,36.0,5,33,1,32,0,20.9,9.56,15.07,26.8,19.74,23.29,0.0,26.0
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a data specialist, I need to leverage FastText for efficient classification and categorization of database contents, ensuring seamless discovery and accurate retrieval of relevant information by end-users.",208,4,173,4,0,27,28,6.464285714285714,1,28.0,4,25,1,26,0,20.1,0.76,14.61,23.0,19.67,24.06,0.0,23.0
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","As a music producer, I need an AI-powered recommendation system that uses machine learning to suggest customized music tracks to users based on their past listening habits and preferences, with the goal of boosting listener loyalty and overall experience.",255,4,209,4,0,38,39,5.564102564102564,1,39.0,4,36,1,36,0,19.7,23.43,13.67,24.3,14.98,23.81,0.0,27.5
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","""I'd like to leverage phrase embedding techniques to explore how social media represents various social phenomena, ultimately aiming to gain insights into public attitudes towards these issues and apply my findings to refine sociological theories and methods.""",260,1,218,5,0,36,37,6.054054054054054,2,19.0,5,36,0,32,0,22.4,0.08,14.43,25.6,17.65,23.45,0.0,26.5
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a social worker, I want to apply natural language processing techniques to case notes, enabling me to recognize patterns and connections between cases, ultimately allowing me to provide more informed support to my clients.",225,2,185,4,0,34,35,5.457142857142857,1,35.0,4,33,1,30,0,18.1,27.49,13.04,21.8,14.28,20.86,0.0,23.5
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","As a social media marketer, I need to leverage natural language processing techniques to extract insights about users' likes and dislikes from social media platforms, so I can create targeted marketing campaigns that resonate with my audience.",243,3,200,4,0,36,37,5.594594594594595,1,37.0,4,34,2,33,0,18.9,25.46,13.58,23.4,15.15,20.21,0.0,23.5
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","""As a marketer, I want to leverage machine learning algorithms to forecast customer actions and refine my ad targeting strategies.""",131,2,106,4,0,19,20,5.6,2,10.5,4,18,1,19,0,12.3,42.72,12.52,14.9,14.04,12.0,0.0,12.0
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","""As a healthcare professional, I'd like to apply the random subspace approach to uncover the top influences on diabetic susceptibility.""",136,2,110,5,0,19,20,5.85,2,10.5,5,18,0,18,0,15.8,17.34,12.52,16.1,15.2,18.0,0.0,15.0
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","As a music producer, I need to enhance the precision of my music suggestion algorithms by applying mathematical optimization methods, so that users can discover more relevant songs.",181,2,149,3,0,27,28,5.5,1,28.0,3,26,1,27,0,17.8,17.68,11.79,18.5,14.28,22.63,0.0,23.0
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As a demographer, I want to leverage implicit feedback insights to gain deeper understanding of migration patterns and uncover key drivers behind individuals' decisions to relocate, ultimately enabling more precise forecasts of population growth and informed planning for resource distribution.",294,2,249,4,0,39,40,6.375,1,40.0,4,38,1,36,0,24.8,-11.43,15.09,28.6,19.74,27.0,0.0,31.0
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","I'm an urban planner seeking to leverage advanced analytics to better understand demographic trends, including population expansion and movement, to inform strategic decisions on land allocation, zoning regulations, and infrastructure investments.",247,1,210,6,0,30,31,7.0,1,31.0,6,30,0,28,0,22.5,-10.76,15.36,27.0,22.81,25.3,0.0,26.5
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a marketer, I'd like to leverage query expansion to uncover fresh market insights by broadening my search scope to encompass relevant terms and industry intelligence, ultimately enhancing the effectiveness of our marketing initiatives.",238,2,199,4,0,33,34,6.029411764705882,1,34.0,4,32,0,32,0,20.1,11.59,13.68,24.0,17.59,27.72,0.0,29.0
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a network engineer, I need to identify key network characteristics from extensive traffic data sets using FSS-SVM, enabling me to fine-tune network performance and enhance its security.",188,8,148,5,0,27,28,5.75,1,28.0,5,25,2,25,0,17.8,17.68,12.92,19.7,15.32,18.34,0.0,20.0
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","As a legal researcher, I need to apply machine learning techniques to analyze legal case data, aiming to uncover hidden patterns that can lead to fresh perspectives on judicial decision-making and ultimately inform lawmaking processes.",235,2,195,4,0,34,35,5.742857142857143,1,35.0,4,33,1,31,0,20.5,10.57,13.04,23.1,15.97,23.14,0.0,25.5
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","As a radiologist, I need an AI-powered tool that uses machine learning algorithms like random forest models to analyze patient data and make predictions about disease progression and treatment effectiveness based on factors like demographics, medical history, and imaging results, so that I can better care for patients and inform my practice.",343,5,281,6,0,51,52,5.615384615384615,1,52.0,6,48,2,46,0,25.9,1.78,13.81,31.0,15.51,26.95,0.0,35.0
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.","As a musician, I'd like a predictive model using neural networks to analyze music data and forecast success and audience appeal, enabling me to make more informed choices in music creation and enhance my songwriting.",216,2,176,4,0,34,35,5.2,1,35.0,4,33,0,30,0,18.1,27.49,13.49,20.6,12.83,19.71,0.0,22.5
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","As a researcher, I'd like to apply machine learning techniques to analyze the underlying drivers of political decisions and voter choices, ultimately enabling me to anticipate and predict future political patterns.",214,2,178,4,0,30,31,5.935483870967742,1,31.0,4,29,0,27,0,20.1,6.17,13.83,22.0,17.01,20.14,0.0,22.5
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.","I'm a sociologist interested in analyzing survey data to understand social inequality and mobility patterns. To ensure my models provide accurate insights, I need a way to stop training early when they start fitting the noise rather than the underlying trends.",260,3,213,4,0,40,41,5.365853658536586,2,20.5,4,38,1,37,0,13.6,33.75,11.2,14.1,13.29,14.05,0.0,14.25
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.",I'd like to leverage machine learning algorithms to scrutinize customer information and craft highly focused marketing initiatives that boost revenue.,150,1,128,2,0,19,20,6.55,1,20.0,2,19,0,19,0,14.6,25.8,14.1,19.4,20.13,18.0,0.0,15.0
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","""As a news analyst, I need to leverage GloVe to uncover linguistic trends and sentiment patterns in news outlets to detect hidden biases, verify authenticity, and enhance fair journalism practices.""",198,4,159,6,0,29,30,5.633333333333334,2,15.5,6,27,1,26,0,17.4,24.11,13.02,20.1,14.81,22.67,0.0,23.0
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","As a music producer, I need to apply a Recurrent Neural Network (RNN) to process listener behavior data across different time intervals, enabling us to uncover underlying patterns and trends in audience preferences and create more accurate music suggestion platforms.",267,8,215,5,0,39,40,5.7,1,40.0,5,34,2,35,0,22.4,5.5,14.31,25.4,15.68,27.0,0.0,32.0
