Domain,Machine Learning Task,User Story,par mistral,llm_total_characters,llm_uppercase_characters,llm_lowercase_characters,llm_special_characters,llm_numbers,llm_blanks,llm_number_of_words,llm_average_length_of_words,llm_number_of_propositions,llm_average_length_of_propositions,llm_punctuation_characters,llm_lowercase_words,llm_uppercase_words,llm_vocabulary_richness,llm_number_of_urls,llm_flesch_kincaid_grade_level,llm_flesch_reading_ease,llm_dale_chall_readability,llm_automated_readability_index,llm_coleman_liau_index,llm_gunning_fog,llm_smog_index,llm_linsear_write_index
Literature,representation learning,"As a literary scholar, I want to use representation learning to analyze literary data and identify key features that are predictive of literary success, so that we can design better literary analysis tools and publishing strategies.","As an academic specializing in literature, I aim to employ machine learning techniques for the interpretation of textual data, focusing on discovering salient characteristics indicative of literary acclaim. By doing so, we can create more effective analytical resources for literature and refine our publishing approaches based on these insights.",346,3,290,5,0,48,49,6.081632653061225,2,24.5,5,46,1,46,0,17.6,12.77,13.23,19.5,17.7,21.23,0.0,19.75
Computer Vision,text mining,"As a computer vision researcher, I want to mine image data to analyze image content and context to inform computer vision research and application.","As a researcher specializing in computer vision, I aim to gather visual data for examining both image details and broader context to contribute to computer vision studies and practical applications.",198,2,165,2,0,29,30,5.633333333333334,1,30.0,2,28,1,26,0,18.5,15.65,13.02,20.1,15.62,20.0,0.0,22.0
Political Science,classifier chain,"As a political scientist, I want to use a classifier chain to predict different types of political outcomes, taking into account the interactions between multiple factors, such as public opinion and media coverage, so that I can better understand political dynamics.","As a scholar in politics, I aim to utilize a sequence of classifiers to forecast diverse political end results, considering the interplay of various determinants, including popular sentiment and press exposure. This enables me to gain deeper insights into the intricate workings of political landscapes.",303,3,251,5,0,44,45,5.7555555555555555,2,22.5,5,42,1,38,0,15.6,23.26,13.17,16.9,15.73,19.67,0.0,17.75
Social Work,tree algorithms,"As a social worker, I want to use tree algorithms to analyze patient data and identify factors that influence mental health outcomes.","As a healthcare professional specializing in social work, I require the ability to implement three analytical methods for evaluating client information and pinpoint elements that affect mental health results.",208,2,176,2,0,28,29,6.206896551724138,1,29.0,2,27,1,29,0,19.3,8.2,14.33,22.3,18.92,22.63,0.0,22.5
Demography,decision boundary,"As a demographer, I need to identify the decision boundary for a population segmentation model to analyze demographic trends.","As a researcher specializing in population analysis, it's crucial for me to determine the separation threshold for a specific grouping model in order to examine demographic shifts effectively.",192,1,161,3,0,27,28,5.892857142857143,1,28.0,3,27,0,24,0,18.9,9.22,13.48,20.3,16.6,24.06,0.0,23.0
Social Networks,part-of-speech,"As a social network researcher, I want to use part-of-speech tagging to analyze messages exchanged between users to identify patterns in communication.","As a researcher focusing on social networks, I wish to employ part-of-speech labeling for the investigation of interactions between users, aiming to discern trends in their conversational patterns.",197,2,163,5,0,27,28,6.071428571428571,1,28.0,5,26,1,27,0,17.8,17.68,12.92,21.2,17.18,18.34,0.0,19.0
Computer Vision,support vector regression,"As a computer vision researcher, I want to use Support Vector Regression (SVR) to predict the performance of object detection and recognition algorithms based on various visual features such as color, texture, and shape so that I can optimize algorithm design and improve accuracy.","As a researcher in the field of computer vision, my goal is to employ Support Vector Regression (SVR) to forecast the effectiveness of object detection and identification methods, taking into account diverse visual attributes like color, texture, and form. This will enable me to refine the design of these algorithms for enhanced precision.",341,8,273,8,0,52,53,5.452830188679245,2,26.5,8,47,1,46,0,14.8,36.12,12.1,17.5,13.76,15.88,0.0,16.75
Psychology,graph mining,"As a psychologist, I want to use graph mining to analyze social networks and identify factors that contribute to mental health, so that I can develop more effective interventions and treatment plans.","As a mental health professional, I aim to employ graph mining techniques to scrutinize social network structures in order to pinpoint elements influencing psychological well-being. This will enable me to devise more targeted interventions and treatment strategies.",264,3,221,4,0,36,37,6.162162162162162,2,18.5,4,34,1,34,0,14.0,27.32,13.09,16.8,17.81,14.97,0.0,13.25
Transportation,multiword expressions,"As a transportation engineer, I want to extract multiword expressions from social media data related to traffic to analyze traffic patterns.","As a traffic analysis specialist, my goal is to pull out compound phrases from social media posts regarding commuting, in order to scrutinize commuting trends.",159,1,131,3,0,24,25,5.4,1,25.0,3,24,0,24,0,14.2,37.64,12.46,16.5,13.64,18.0,0.0,18.5
Literature,value iteration,"As a literary critic, I want to use value iteration to optimize the allocation of literary resources and improve access to literature, so as to promote literacy and cultural understanding.","As a literary analyst, I desire to apply value iteration methods to efficiently distribute literary assets and enhance literature availability, with the aim of fostering literacy and cross-cultural awareness.",208,2,174,4,0,28,29,6.206896551724138,1,29.0,4,27,1,26,0,21.7,-8.73,13.24,22.3,18.52,25.39,0.0,25.5
Information Systems,sentence extraction,"As an information systems analyst, I want to use sentence extraction to automatically identify key information from user feedback, to quickly identify common issues and areas for improvement in software and enhance user experience.","As a data analysis specialist, I desire to apply sentence extraction techniques to automatically pinpoint essential details within customer comments, so that I can swiftly recognize recurring problems and potential improvement points in software applications, thereby improving user satisfaction.",296,3,251,4,0,38,39,6.615384615384615,1,39.0,4,36,2,37,0,24.4,-10.42,15.69,29.3,21.07,27.91,0.0,31.5
Psychology,lexical choice,"As a psychologist, I want to use a machine learning system for lexical choice to improve the accuracy and readability of my research papers and psychological reports, so that I can better communicate my findings to other mental health professionals and patients.","As a mental health professional, I desire to employ a machine learning tool for vocabulary selection in order to enhance the precision and accessibility of my academic articles and psychological reports. This will facilitate clearer communication of my findings to fellow experts in the field of mental health as well as patients.",330,3,273,3,0,51,52,5.365384615384615,2,26.0,3,49,1,39,0,15.8,28.17,10.7,16.9,13.81,18.09,0.0,18.0
Cardiology,word error rate,"As a cardiologist, I want to use word error rate to evaluate the accuracy of automated transcription of medical reports and patient notes, so that I can provide more accurate and effective treatments for my patients.","As a specialist in heart diseases (cardiologist), it is important for me to assess the precision of automated transcription systems applied to medical records and patient notes using Word Error Rate (WER). This evaluation enables me to deliver more precise and efficient treatment plans to my patients based on accurate documentation.",334,8,269,7,0,50,51,5.568627450980392,2,25.5,7,45,1,46,0,15.6,28.67,13.26,17.6,14.51,18.83,0.0,18.75
Health,one-class classification,"As a healthcare professional, I want to use one-class classification to detect anomalous behavior in electronic health records, so that I can identify potential medical errors or fraud.","As a medical practitioner, my goal is to employ one-class classification techniques to identify unusual patterns within electronic health records. This will enable me to spot possible medical mistakes or instances of fraud more effectively.",240,2,200,4,0,34,35,5.885714285714286,2,17.5,4,33,0,32,0,12.5,36.79,11.72,15.1,15.89,15.0,0.0,13.25
Demography,learning linear model,"As a demographer, I want to use learning linear models to predict population growth and migration patterns in different regions.","As a regional population analyst, I need the ability to apply linear modeling techniques for forecasting population expansion and movement trends across various geographical areas.",180,2,152,2,0,24,25,6.24,1,25.0,2,23,1,24,0,20.1,-4.67,14.35,20.5,18.74,24.4,0.0,22.5
Biology,natural language processing,"A pharmaceutical company is using natural language processing to analyze scientific papers and identify potential drug targets for a particular disease. The machine learning algorithms are trained to recognize key phrases and concepts related to the disease, allowing the company to quickly identify promising targets for further study.","A biotech organization employs artificial intelligence and natural language comprehension to scrutinize academic articles, seeking potential medication objectives for a specific health condition. These AI models have been educated to pinpoint significant phrases and ideas relevant to the disease, enabling the team to swiftly isolate noteworthy targets for in-depth exploration.",379,4,321,5,0,49,50,6.6,2,25.0,5,47,2,43,0,18.9,3.8,14.98,22.2,20.72,24.4,0.0,21.5
Computer Networks,legal information retrieval,"As a network engineer, I want to use a legal information retrieval system powered by machine learning to search and analyze laws and regulations related to data privacy and security, so that I can ensure compliance and protect user data.","As a network specialist, I require an intelligent data retrieval platform driven by machine learning to facilitate searches and analyses of data privacy and security-related statutes and regulations. This will enable me to maintain compliance standards and safeguard users' confidential information effectively.",311,3,262,5,0,41,42,6.428571428571429,2,21.0,5,39,1,37,0,16.2,16.32,13.7,19.4,19.32,18.88,0.0,15.5
News,question answering,"As a journalist, I want to use question answering to quickly find information about news events and trends, in order to inform my news coverage and reporting.","As a media professional, I wish to leverage question-answering systems for swiftly gathering data on recent news occurrences and tendencies. This will facilitate more informed decision-making regarding the content I produce and share as part of my journalistic duties.",268,4,221,5,0,38,39,5.897435897435898,2,19.5,5,35,2,36,0,14.4,26.3,12.3,16.1,16.19,17.03,0.0,14.25
Demography,rule induction,"As a demographer, I want to use rule induction to identify the factors that influence migration patterns, so that I can better understand population dynamics.","As a researcher specializing in population studies, I aim to employ rule induction techniques to pinpoint the key determinants of migratory trends. This will help me gain a deeper insight into population movement patterns.",222,3,183,3,0,33,34,5.5588235294117645,2,17.0,3,31,1,31,0,12.3,37.3,11.45,13.3,14.15,12.68,0.0,11.5
Endocrinology,pre-trained language model,"As an endocrinologist, I want to use a pre-trained language model to analyze medical research and patient records, to identify patterns in hormone levels and treatment responses, and to use this information to develop more accurate and effective hormone therapies.","As a specialized doctor in hormones (endocrinologist), I wish to employ a pre-existing language model for the purpose of scrutinizing medical literature and patient data. By detecting trends in hormone levels and treatment reactions, I aim to utilize this knowledge to refine and optimize hormone therapies with improved precision and efficacy.",344,4,283,7,0,50,51,5.764705882352941,2,25.5,7,47,2,42,0,16.8,20.21,13.26,18.4,15.67,19.61,0.0,18.75
Information Systems,fasttext,"As an information systems professional, I want to use fasttext to classify and categorize information in databases and information systems, so that users can find information more easily and accurately.","As a data management specialist, it is desired to employ FastText for the classification and categorization of data within databases and information systems. This enables end-users to swiftly and precisely locate necessary information.",235,4,195,4,0,32,33,6.151515151515151,2,16.5,4,30,0,29,0,14.4,20.89,13.07,15.8,17.4,15.08,0.0,12.25
Music,encoder-decoder model,"As a music producer, I want to use an encoder-decoder model to generate personalized music recommendations for listeners based on their historical listening behavior and interests, in order to improve user engagement and satisfaction.","As a music professional, I desire to leverage an encoder-decoder model to produce custom music suggestions for listeners, taking into account their past listening activities and preferences, with the aim of enhancing user interaction and contentment.",250,2,208,5,0,35,36,5.972222222222222,1,36.0,5,34,1,33,0,20.9,9.56,12.44,24.7,17.13,24.4,0.0,28.0
Sociology,phrase embeddings,"As a sociologist, I want to use phrase embeddings to analyze the relationships between social phenomena and their representation in social media to better understand public perceptions of social issues and inform social theory and analysis.","As a researcher in sociology, I wish to employ phrase embeddings for examining the connections between societal occurrences and their portrayals on social networking platforms, so as to gain deeper insights into the general views held by the public regarding social problems and ultimately refine my understanding of social constructs and analysis.",348,2,292,3,0,51,52,5.711538461538462,1,52.0,3,50,1,44,0,27.1,-6.69,13.2,31.5,16.38,30.03,0.0,39.0
Social Work,stemming,"As a social worker, I want to use stemming algorithms to analyze social work case notes and identify related cases, so that I can better understand and address the needs of my clients.","As a welfare specialist, it is essential for me to employ text-reduction techniques (like stemming) in analyzing my case files regarding social aid situations. By doing this, I aim to pinpoint similar instances and thereby gain a more comprehensive grasp of the requirements of my service users, enabling me to provide tailored assistance effectively.",351,3,287,8,0,53,54,5.518518518518518,2,27.0,8,51,1,48,0,15.0,35.61,12.87,18.1,14.16,18.95,0.0,19.0
Social Media,information processing language,"As a social media marketer, I want to use information processing language to develop algorithms for analyzing user interests and preferences from social media data, in order to develop more effective social media marketing strategies.","As a digital marketing professional specializing in social media, I aim to leverage natural language processing to create analytics tools that discern user tendencies and inclinations from social media content. This will allow me to devise more impactful social media advertising approaches.",291,3,244,3,0,41,42,5.9523809523809526,2,21.0,3,39,1,37,0,16.2,16.32,12.57,17.1,16.82,19.83,0.0,16.5
Finance & Marketing,learning linear model,"As a marketer, I want to use learning linear models to predict consumer behavior and optimize advertising campaigns.","As a marketing professional, I desire to apply linear modeling techniques to forecast consumer actions and enhance the efficiency of my promotional campaigns.",158,2,132,2,0,22,23,5.913043478260869,1,23.0,2,21,1,22,0,17.0,14.29,13.7,17.9,16.83,17.9,0.0,16.5
Endocrinology,random subspace method,"As an endocrinologist, I want to use the random subspace method to identify the most significant factors that affect diabetes risk.","As a medical specialist focusing on endocrine disorders, I desire to utilize the random subspace technique to discern the key determinants significantly influencing the likelihood of developing diabetes.",203,2,172,2,0,27,28,6.285714285714286,1,28.0,2,26,1,25,0,20.1,0.76,14.05,22.2,19.03,25.49,0.0,24.0
Music,regularization,"As a music producer, I want to use regularization techniques to improve the accuracy of my music recommendation models and better match listeners with new music.","As a music model creator, I desire to employ normalization methods to enhance the precision of my music suggestion algorithms and effectively pair listeners with fresh tunes.",174,2,144,2,0,26,27,5.481481481481482,1,27.0,2,25,1,25,0,16.2,27.15,11.99,17.9,14.39,19.69,0.0,19.5
Demography,learning from implicit feedback,"As a demographer, I want to use learning from implicit feedback to better understand population migration patterns and identify factors that influence people to move to different areas, allowing for more accurate projections of future population trends and resource allocation.","As a researcher in population dynamics, I aim to leverage insights derived from indirect user behavior to gain deeper insights into geographical movement tendencies among populations and determine key elements impacting people's decisions to relocate to diverse regions. This will facilitate enhanced predictions regarding the trajectory of future demographic shifts and resource distribution planning.",402,3,342,4,0,53,54,6.462962962962963,2,27.0,4,51,1,49,0,19.7,1.77,14.63,22.5,20.08,24.13,0.0,22.5
Urban Studies,spiking neural network,"As an urban planner, I want to use spiking neural networks to analyze data on population growth, migration, and housing patterns so that I can make informed decisions about land use, zoning, and infrastructure development.","As a city development strategist, I aim to employ Spiking Neural Networks for the analysis of trends in population expansion, relocation, and residential behavior. This will empower me to base my choices on appropriate land management, zoning regulations, and construction of essential facilities more effectively.",314,6,257,7,0,44,45,6.0,2,22.5,7,39,1,42,0,16.8,14.8,12.82,18.1,16.89,22.33,0.0,18.75
Finance & Marketing,query expansion,"As a marketer, I want to use query expansion to identify new market trends and opportunities by expanding the search to include related keywords and market data, in order to improve marketing strategies and performance.","As a marketing professional, I aim to utilize query expansion for discovering fresh market tendencies and prospects. This involves broadening my search parameters to incorporate relevant keywords and market-related data. The goal is to optimize marketing tactics and enhance overall performance by staying informed about current market dynamics.",345,4,289,5,0,47,48,6.208333333333333,3,16.0,5,44,1,42,0,14.3,21.4,12.65,15.8,17.8,17.23,15.5,12.666666666666666
Computer Networks,fss-svm,"As a network engineer, I want to use FSS-SVM to select the most informative network features from large datasets of network traffic data, so that I can better optimize network performance and improve security.","As a network specialist, I wish to employ FSS-SVM for the purpose of identifying crucial network characteristics from vast collections of network activity data. This will empower me to more effectively enhance network efficiency and fortify its security.",254,9,204,4,0,37,38,5.7105263157894735,2,19.0,4,34,2,33,0,14.2,26.81,12.47,15.0,15.26,18.13,0.0,14.5
Law,inductive logic learning,"As a legal researcher, I want to use inductive logic learning to identify patterns in legal cases, in order to develop new insights into legal decision-making and inform legal policy decisions.","As a legal analyst, I aim to utilize inductive reasoning techniques to discover recurring trends within judicial cases. This will enable me to generate fresh perspectives on the process of making legal judgments and guide decisions regarding legal policies.",257,3,213,3,0,38,39,5.615384615384615,2,19.5,3,36,1,35,0,13.3,34.76,12.3,14.8,14.85,17.03,0.0,14.75
Radiology,random forest,"As a radiologist, I want to use random forest models to predict disease progression and treatment outcomes based on variables such as patient demographics, medical history, and imaging results, in order to improve patient care and inform medical practice.","As a medical professional specialized in radiology, I wish to employ random forest algorithms to forecast disease advancement and therapeutic results using factors like patient details, past health records, and diagnostic images. This is intended to enhance the quality of patient care and guide medical decision-making processes.",330,3,275,6,0,46,47,6.042553191489362,2,23.5,6,44,1,41,0,17.2,13.78,12.87,18.8,17.29,19.61,0.0,18.25
Music,feedforward neural network,"As a musician, I want to use a feedforward neural network to predict musical success and audience preferences based on music data, so that I can better inform music production decisions and improve my compositions.","As an artist specializing in music, I desire to utilize a feedforward artificial neural network to forecast the likelihood of musical success and audience tastes from available music data. This will allow me to make more informed decisions regarding the production process and enhance the quality of my future compositions.",323,3,268,3,0,49,50,5.48,2,25.0,3,47,1,44,0,15.4,29.18,12.14,16.9,14.45,18.8,0.0,18.0
Political Science,inverse reinforcement learning,"As a political scientist, I want to use inverse reinforcement learning to understand the factors that influence political decision-making and voting behavior, so that I can better understand political trends and make predictions.","As a researcher in political studies, I aim to employ inverse reinforcement learning to decipher the aspects shaping political decision-making and electoral patterns. This will enable me to grasp political dynamics more effectively and forecast upcoming trends with improved accuracy.",284,3,238,4,0,39,40,6.125,2,20.0,4,37,1,35,0,15.8,17.34,13.31,17.4,17.69,16.0,0.0,15.0
Sociology,early stopping,"As a sociologist, I want to use early stopping to prevent overfitting in models that predict social inequality and mobility from survey data.","As a researcher in sociology, I aim to implement early stopping technique to avoid overfitting when developing models to forecast social disparities and mobility based on survey responses.",188,2,157,2,0,27,28,5.75,1,28.0,2,26,1,26,0,18.9,9.22,13.48,19.7,15.96,21.2,0.0,21.0
Finance & Marketing,machine learning,"As a marketer, I want to use machine learning to analyze consumer data and develop more targeted marketing campaigns that are more effective at driving sales.","As a marketing professional, my goal is to leverage machine learning capabilities for the purpose of examining customer data, thereby enabling me to create marketing strategies that are more accurately tailored, resulting in improved efficiency and increased sales.",265,1,223,4,0,37,38,6.0,1,38.0,4,37,0,36,0,21.7,7.53,13.42,25.8,17.47,22.57,0.0,27.0
News,glove,"As a news analyst, I want to use GloVe to analyze and understand patterns of language use and sentiment in news media to help identify potential biases, fake news, and other forms of media manipulation and promote more informed and ethical news reporting.","As a media analyst, my goal is to leverage GloVe for the examination and interpretation of linguistic trends and sentiments within news broadcasts. This analysis aims to uncover hidden patterns that may indicate biases, misinformation, or other instances of media manipulation. Ultimately, these insights will contribute towards more transparent and morally sound news dissemination.",383,5,318,7,0,53,54,6.111111111111111,3,18.0,7,50,0,48,0,15.0,19.37,11.84,16.3,17.11,18.31,15.9,14.0
Music,rnn architecture,"As a music producer, I want to use RNN architecture to analyze listener data over time, so that we can identify trends and patterns in music preferences and design better music recommendation systems.","As a music production specialist, I desire to employ Recurrent Neural Network (RNN) structure for the analysis of listener data progressively. This will enable us to discern tendencies and patterns in musical taste preferences, thus enabling us to create more effective music suggestion algorithms.",298,9,240,6,0,43,44,5.795454545454546,2,22.0,6,37,2,40,0,15.4,23.77,13.34,16.9,15.55,19.71,0.0,17.0
